	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Aasdh_3	mean_1_var_1	-0.07066174027863029	0.8991008991008991	0.9555793750322625	0.8872602773014201	
Acadvl_1	mean_1_var_1	-0.0195828823851076	0.45554445554445555	0.6609490094967274	0.43766968411869733	
Actr3b_4	mean_1_var_1	-0.02337305279086551	0.5154845154845155	0.7099688112017768	0.47794989449341635	
Add1_7	mean_1_var_1	-0.02565897653098258	0.5384615384615384	0.7195492405683489	0.5023798863857585	
Add3_1	mean_1_var_1	0.29549724252657106	0.000999000999000999	0.006529296248922418	3.939100928260067e-18	
Adgrl2_21	mean_1_var_1	0.08861981837358264	0.000999000999000999	0.006529296248922418	0.001118477407578153	
Alg3_1	mean_1_var_1	0.019400185613079296	0.10989010989010989	0.2631843042801947	0.11474637735496768	
Arfgap1_4	mean_1_var_1	0.02695700179874146	0.08191808191808192	0.22407318887110284	0.0801300973325102	
BC004004_4	mean_1_var_1	-0.036097877247790795	0.6323676323676324	0.785964035964036	0.6124609226909635	
Bcas3_5	mean_1_var_1	-0.03177890439947289	0.6093906093906094	0.7674078622457975	0.5674893909980719	
Blzf1_1	mean_1_var_1	-0.10548758482651042	0.9760239760239761	0.9922099177418326	0.9840417421251019	
Blzf1_2	mean_1_var_1	-0.08569963016814239	0.954045954045954	0.9830984339825205	0.946857321480807	
Brd8_2	mean_1_var_1	-0.020194012779800916	0.46253746253746253	0.6656396307320331	0.4441320246089804	
Btbd6_1	mean_1_var_1	-0.029020660160191048	0.5774225774225774	0.7441231986686533	0.5382643807805184	
Btrc_10	mean_1_var_1	-0.018381481571674026	0.43156843156843155	0.6385264946618966	0.4250155086745691	
Cadm1_10	mean_1_var_1	-0.04283318577112719	0.7162837162837162	0.8572522742517037	0.6794824553227835	
Carm1_3	mean_1_var_1	-0.007878821074046412	0.2807192807192807	0.4839351281421947	0.31897713460040333	
Casp8ap2_3	mean_1_var_1	-0.010026415748195844	0.3116883116883117	0.5128800611153552	0.3398021206010987	
Ccdc91_nmdSE_1	mean_1_var_1	-0.12613963165972156	0.986013986013986	0.9926909140715469	0.9965220769962007	
Cdpf1_4	mean_1_var_1	-0.01323512708578102	0.34465534465534464	0.5482084253881069	0.37183149865164045	
Cenpc1_6	mean_1_var_1	0.011847507915471572	0.13386613386613386	0.3026413241930483	0.1588375338377977	
Chn1_4	mean_1_var_1	-0.054417905914427175	0.7982017982017982	0.9034069378896965	0.7813422910618626	
Cnot2_35	mean_1_var_1	-0.009097854094553893	0.2957042957042957	0.4979868131868132	0.3307331397322043	
Cnot2_36	mean_1_var_1	-0.012350489206675912	0.32867132867132864	0.5337093247309964	0.36290083392793504	
Cntrl_12	mean_1_var_1	-0.02166589852677404	0.48151848151848153	0.6789943657413536	0.45975415960589894	
Crlf2_1	mean_1_var_1	-0.058892757389480056	0.8551448551448552	0.9363746900281347	0.8150511903194058	
Ctc1_6	mean_1_var_1	-0.01996500452684516	0.46253746253746253	0.6656396307320331	0.4417085630267275	
Cyb561d2_1	mean_1_var_1	0.03608918715227807	0.04295704295704296	0.14995653265204015	0.049579042284052	
Dars2_2	mean_1_var_1	0.032131730466895984	0.053946053946053944	0.17279209340278043	0.06142933190398822	
Dcbld1_6	mean_1_var_1	-0.05670714920269962	0.8371628371628371	0.9244040170355959	0.7990095274748004	
Dcun1d4_4	mean_1_var_1	-0.00873476477535963	0.2917082917082917	0.493551609680642	0.327213438250707	
Ddx59_2	mean_1_var_1	-0.0227360914353292	0.5014985014985015	0.6958623387194816	0.4711534064441709	
Ddx59_3	mean_1_var_1	0.03367268332402004	0.04595404595404595	0.15500255371638008	0.056575904156571405	
Dhdds_7	mean_1_var_1	0.016280816080145095	0.12387612387612387	0.2878096432913709	0.13176978656955463	
Dhx30_12	mean_1_var_1	-0.09790713124292454	0.972027972027972	0.9904393809201968	0.9739490374439742	
Dnajb6_4	mean_1_var_1	-0.022344506470079843	0.5014985014985015	0.6958623387194816	0.4669791666924155	
Dnase2a_2	mean_1_var_1	-0.008972945446104242	0.2917082917082917	0.493551609680642	0.3295205954820859	
Dusp12_7	mean_1_var_1	-0.04831613016781428	0.7692307692307693	0.8888570175698889	0.7301281555255466	
Efna3_1	mean_1_var_1	0.046254776408579536	0.023976023976023976	0.10100742630863112	0.02734082067842655	
Egfl7_2	mean_1_var_1	0.03465815613985642	0.04295704295704296	0.14995653265204015	0.05363391553538197	
Enox1_3	mean_1_var_1	-0.03597158950955179	0.6263736263736264	0.7820723542648675	0.6111640342652934	
Epb41l3_7	mean_1_var_1	-0.04007356570611728	0.6913086913086913	0.8383616383616382	0.6525785390938739	
Ercc6l2_3	mean_1_var_1	0.022810200503576288	0.0999000999000999	0.2474503064821837	0.09799542278296536	
Eri3_3	mean_1_var_1	-0.010590576815504371	0.31868131868131866	0.5227469949909355	0.34535816451794416	
Ext2_1	mean_1_var_1	-0.05969067135891359	0.8551448551448552	0.9363746900281347	0.8207036742622942	
Fam49b_4	mean_1_var_1	-0.04416604315016594	0.7362637362637363	0.8692635445589865	0.6921570996237312	
Fam53a_10	mean_1_var_1	-0.0495198517141102	0.7712287712287712	0.8890318472736055	0.7406859552193198	
Fam53b_1	mean_1_var_1	-0.009932731918003979	0.2997002997002997	0.49981814687697046	0.33888281174998947	
Fam98c_3	mean_1_var_1	-0.009684734684051415	0.2957042957042957	0.4979868131868132	0.3364538830434366	
Fance_4	mean_1_var_1	-0.011610911021278139	0.3226773226773227	0.5264207021594268	0.3554911583992391	
Fbxl20_2	mean_1_var_1	-0.08208876041628752	0.9430569430569431	0.9804427485299636	0.9355358947875289	
Fdxacb1_1	mean_1_var_1	-0.001835697109760591	0.23776223776223776	0.44026935112548526	0.2635226078229403	
Foxp1_2	mean_1_var_1	-0.027558331064726053	0.5474525474525475	0.7264213059667605	0.5226756987283113	
