	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
AASS_nmdSE_3	mean_1_var_1	-0.004112955262413241	0.3936063936063936	0.5831371584640487	0.39759109376417784	
ABI2_nmdSE_5	mean_1_var_1	-0.03766753510594124	0.8261738261738262	0.9004638189079845	0.8055198368406552	
ACAP2_1	mean_1_var_1	-0.03869498773188147	0.8261738261738262	0.9004638189079845	0.8148289000304355	
ACD_2	mean_1_var_1	-0.0802138047887388	0.971028971028971	0.9892499994141901	0.9887853208951626	
ACO2_4	mean_1_var_1	0.007891773538411072	0.26073926073926074	0.4566441622893236	0.2544097223604388	
ACSL3_2	mean_1_var_1	-0.024900154415391642	0.6753246753246753	0.8025062033269967	0.668194679928299	
ALG11_3	mean_1_var_1	0.022452329364167228	0.0919080919080919	0.2749856343426952	0.12565783890835752	
ANKRD39_4	mean_1_var_1	0.016786526791836155	0.12487512487512488	0.3225218785179142	0.16906680003083652	
APOPT1_10	mean_1_var_1	-0.03102968431671862	0.7482517482517482	0.8518759527933839	0.7388250200338327	
APOPT1_nmdSE_1	mean_1_var_1	0.006974899793574842	0.27372627372627373	0.4677578159545373	0.2643330964812741	
C12orf29_nmdSE_1	mean_1_var_1	0.03242724021076994	0.04995004995004995	0.1892003345491718	0.06937910824020031	
C1orf131_1	mean_1_var_1	0.07564209562561039	0.000999000999000999	0.010169517982017982	0.0017262586391288655	
CAAP1_1	mean_1_var_1	-0.010122154662020324	0.5414585414585414	0.7016613421387166	0.47655014609714247	
CBWD1_4	mean_1_var_1	0.02071402161721717	0.1018981018981019	0.29309763084597523	0.1380590850594534	
CBWD1_nmdSE_2	mean_1_var_1	-0.026050641541040073	0.6973026973026973	0.8148748112873674	0.6820262726773649	
CBWD2_5	mean_1_var_1	0.006207876439124462	0.27372627372627373	0.4677578159545373	0.272783421310338	
CCDC127_1	mean_1_var_1	0.015266178201833399	0.14685314685314685	0.3395734700082526	0.18218669453194397	
CCDC14_6	mean_1_var_1	-0.004109639415959402	0.3936063936063936	0.5831371584640487	0.39754836159535134	
CCDC77_2	mean_1_var_1	-0.0097076406567472	0.5274725274725275	0.6893647976897727	0.4710370357075906	
CDK11A_1	mean_1_var_1	0.00946969621911746	0.22777222777222778	0.4248922158728888	0.2378000639114053	
CEP57L1_4	mean_1_var_1	-0.009410107105058779	0.5134865134865135	0.6768042659006819	0.46708314395396877	
CHCHD5_1	mean_1_var_1	-0.009721833902634484	0.5274725274725275	0.6893647976897727	0.4712257227240533	
CHD2_nmdSE_2	mean_1_var_1	0.1440388893228848	0.000999000999000999	0.010169517982017982	9.468206370166655e-08	
CHD8_1	mean_1_var_1	-0.049826236600927665	0.8931068931068931	0.9426636546928162	0.897554333286905	
COPE_1	mean_1_var_1	-0.018101187825718068	0.6303696303696303	0.7679959124559406	0.5822970504075502	
DEF8_6	mean_1_var_1	-0.018712764071530972	0.6353646353646354	0.7722762312314552	0.5902572507283751	
DGCR6L_3	mean_1_var_1	-0.017640486998108714	0.6303696303696303	0.7679959124559406	0.5762780879504211	
DNAJC24_nmdSE_2	mean_1_var_1	-0.02504131562719063	0.6753246753246753	0.8025062033269967	0.6699046583278309	
DZIP1_2	mean_1_var_1	-0.03728998293631881	0.8171828171828172	0.895910147908465	0.8020287369923234	
EED_3	mean_1_var_1	0.027138403685633635	0.07392607392607392	0.24081418581418582	0.09616352243932152	
EIF4G1_18	mean_1_var_1	-0.004793907612968196	0.4045954045954046	0.592013264669076	0.40639203382000655	
EIF4G1_23	mean_1_var_1	-0.004412082066441677	0.3936063936063936	0.5831371584640487	0.40145101411466827	
FANCI_4	mean_1_var_1	-0.0380917049123441	0.8261738261738262	0.9004638189079845	0.809396978433782	
FRG1HP_1	mean_1_var_1	0.05367992378264164	0.014985014985014986	0.09275759869584098	0.014243842601221784	
FUCA2_1	mean_1_var_1	-0.058254859306885474	0.9560439560439561	0.982433181959996	0.9393508533117251	
GLYR1_1	mean_1_var_1	-0.011508158920587255	0.5604395604395604	0.715232857250487	0.495010882849669	
HERPUD1_9	mean_1_var_1	0.006336790223923314	0.27372627372627373	0.4677578159545373	0.2713538555387922	
HNRNPM_7	mean_1_var_1	-0.07943612166817972	0.971028971028971	0.9892499994141901	0.9879970245153585	
