	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
ADA_3	mean_1_var_1	0.04358368595854219	0.11788211788211789	0.20464890757777787	0.08909028237600602	
BZW2_3	mean_1_var_1	0.0012438358896120169	0.33266733266733267	0.46009583636702284	0.44341650002550975	
CNOT1_8	mean_1_var_1	0.13976482901623577	0.000999000999000999	0.002975127062718304	2.2364456472264713e-05	
ICAM3_2	mean_1_var_1	0.004757145866229505	0.33266733266733267	0.46009583636702284	0.40430305472410866	
LARS_1	mean_1_var_1	-0.006225877272322521	0.5394605394605395	0.6335150563721993	0.5279476791681953	
MRPL52_5	mean_1_var_1	-0.002274990225478583	0.4385614385614386	0.5591658341658342	0.4831521181024463	
TCERG1_4	mean_1_var_1	0.0570127152624352	0.11788211788211789	0.20464890757777787	0.041969509599972726	
TRAPPC4_4	mean_1_var_1	0.04047499240296955	0.11788211788211789	0.20464890757777787	0.10420078656027254	
TRAPPC4_nmdSE_1	mean_1_var_1	-0.00557404771719688	0.5394605394605395	0.6335150563721993	0.520566345102408	
ADA_1	mean_1_var_2	0.13581806190153964	0.000999000999000999	0.002975127062718304	1.1125128040280072e-11	
CD59_5	mean_1_var_2	0.18173455806918398	0.000999000999000999	0.002975127062718304	4.759258689486461e-19	
EIF4E_6	mean_1_var_2	0.12095313484548653	0.000999000999000999	0.002975127062718304	1.0215593601236777e-09	
HMGN1_8	mean_1_var_2	0.34188694854013973	0.000999000999000999	0.002975127062718304	2.5513911210414933e-60	
HMGN1_nmdSE_2	mean_1_var_2	0.33731290345112985	0.000999000999000999	0.002975127062718304	8.366211705003545e-59	
HNRNPM_1	mean_1_var_2	0.10771441434257319	0.000999000999000999	0.002975127062718304	3.841986689406367e-08	
LGALS9_5	mean_1_var_2	-0.0599971943041901	0.964035964035964	0.9687849096716091	0.9934167216076948	
MATR3_14	mean_1_var_2	0.05994655907993813	0.000999000999000999	0.002975127062718304	0.000851933465165188	
MATR3_4	mean_1_var_2	0.033285720867906994	0.07692307692307693	0.14945054945054947	0.029443476064617988	
NDUFA5_nmdSE_1	mean_1_var_2	0.008552841881013077	0.17182817182817184	0.27600745710981933	0.2324381885759646	
PCNP_2	mean_1_var_2	-0.014464067283787133	0.7472527472527473	0.8044303980979443	0.6357039609062699	
