	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0011035098643664926	0.1878121878121878	0.2889865552404252	0.21488016007517796	
Aftph_4	mean_1_var_1	-0.011789360285322582	0.5854145854145855	0.6959333872325528	0.5236685087886547	
Agrn_8	mean_1_var_1	0.029424420651634156	0.006993006993006993	0.021654358102956232	0.0006522866909197022	
Agtpbp1_11	mean_1_var_1	-0.012395236223394834	0.6123876123876124	0.7203707535068482	0.5428031916956715	
Aldh3a2_2	mean_1_var_1	-0.007283891731174919	0.37662337662337664	0.4938834252818422	0.3826281523303873	
Angel2_1	mean_1_var_1	0.008168258619929014	0.06793206793206794	0.1277662734616377	0.06347737403775888	
Ankfy1_5	mean_1_var_1	-0.011365732641516472	0.5604395604395604	0.6727982162764772	0.5102544051781567	
Arfip2_nmdSE_1	mean_1_var_1	0.009825216465464427	0.05094905094905095	0.10474324021376763	0.04867259856858895	
Arhgef40_7	mean_1_var_1	-0.01733728129759837	0.7032967032967034	0.7903639605165892	0.6915088797523528	
Armc9_4	mean_1_var_1	-0.007317812184612057	0.37662337662337664	0.4938834252818422	0.38365680121074053	
B4galt3_1	mean_1_var_1	0.003990440708799404	0.11488511488511488	0.19470725353078294	0.11617956337535829	
Bclaf1_1	mean_1_var_1	0.04432418013587882	0.000999000999000999	0.003447940947940948	5.444522657729874e-06	
Btrc_1	mean_1_var_1	0.007285880008445966	0.06793206793206794	0.1277662734616377	0.07267993038132044	
Cacna1e_2	mean_1_var_1	-0.011490940248053999	0.5684315684315684	0.6791117536309843	0.5142209760312301	
Camk2d_1	mean_1_var_1	0.02967508717570749	0.006993006993006993	0.021654358102956232	0.0006084551642955552	
Camta1_5	mean_1_var_1	0.04151166247492958	0.000999000999000999	0.003447940947940948	1.488139288691503e-05	
Ccdc127_2	mean_1_var_1	-0.0008339670787470715	0.16883116883116883	0.26574533937954364	0.2086781314685479	
Ccdc136_17	mean_1_var_1	0.031085559233658116	0.006993006993006993	0.021654358102956232	0.00040853676899488354	
Chtf8_3	mean_1_var_1	0.009125525270482378	0.05094905094905095	0.10474324021376763	0.054547531649930855	
Ciz1_2	mean_1_var_1	-0.03046355349965094	0.919080919080919	0.947683022371819	0.9385824643696028	
Clcn4_nmdSE_1	mean_1_var_1	0.0006649453293008246	0.15084915084915085	0.24400985507576234	0.1761593104303138	
Clip1_11	mean_1_var_1	0.01204849164370033	0.023976023976023976	0.05614173812053671	0.03329016788705585	
Cyb5r4_1	mean_1_var_1	-0.013422619873556113	0.6233766233766234	0.7276997811348956	0.5750012076473601	
Dcaf11_1	mean_1_var_1	-0.012814987164357541	0.6123876123876124	0.7203707535068482	0.5560044219405994	
Dcun1d2_7	mean_1_var_1	-0.009318686655726561	0.46353646353646355	0.5777495232040687	0.44554463623259066	
Dhcr7_5	mean_1_var_1	-0.0018828142380075174	0.20679320679320679	0.31144310235219325	0.23340229188956313	
Dis3l2_7	mean_1_var_1	-0.0003750778508630204	0.16883116883116883	0.26574533937954364	0.19836548186354674	
Dlg4_3	mean_1_var_1	0.02269642204683955	0.012987012987012988	0.034196267308850094	0.0036761772025916367	
Dnajc17_1	mean_1_var_1	-0.008316841603008211	0.4045954045954046	0.5236560314685316	0.41429115033774333	
Dnajc5_1	mean_1_var_1	-0.014042004081472053	0.6233766233766234	0.7276997811348956	0.5941874531559482	
Dram2_1	mean_1_var_1	-0.009279629491937476	0.46353646353646355	0.5777495232040687	0.444318532533161	
Ece2_4	mean_1_var_1	-0.009010418790918264	0.44455544455544455	0.5614842590700277	0.435882429230434	
Elovl6_2	mean_1_var_1	-0.013536673745664049	0.6233766233766234	0.7276997811348956	0.5785489822628348	
Epb41l4aos_1	mean_1_var_1	-0.027656918440642424	0.8901098901098901	0.9240409720827475	0.9065828178848454	
Epn2_5	mean_1_var_1	0.012514677798427045	0.023976023976023976	0.05614173812053671	0.030635564900154608	
Eri3_5	mean_1_var_1	-0.008578190894708272	0.42957042957042957	0.5467260012714559	0.42240033710492747	
Exoc6b_6	mean_1_var_1	-0.0056445344050796145	0.2977022977022977	0.40928918937217695	0.33402402134391507	
Fam13b_8	mean_1_var_1	-0.027627697820557545	0.8901098901098901	0.9240409720827475	0.9061946792732181	
Fam160a2_2	mean_1_var_1	-0.024006333775419723	0.8461538461538461	0.8981066984270402	0.8484883952467259	
Fam189b_2	mean_1_var_1	-0.014594651761660582	0.6393606393606394	0.7427275175233168	0.6111189501585969	
Fam189b_3	mean_1_var_1	-0.0019885984499051937	0.20679320679320679	0.31144310235219325	0.23598306107009476	
Fam49b_1	mean_1_var_1	-0.003437669320149395	0.22977022977022976	0.33686077933865544	0.27286911365038513	
Fbxl5_7	mean_1_var_1	0.03753617315523793	0.000999000999000999	0.003447940947940948	5.682570885800145e-05	
Fbxo42_3	mean_1_var_1	0.006341985542494028	0.07792207792207792	0.1429050654142905	0.08361974397765731	
Flcn_1	mean_1_var_1	0.02108562719874057	0.012987012987012988	0.034196267308850094	0.005348030631778819	
Fnbp4_6	mean_1_var_1	-0.010242337595248757	0.5354645354645354	0.6494835244072583	0.47466658390838873	
Gfra2_1	mean_1_var_1	-0.011605136098419344	0.5704295704295704	0.6810894810894811	0.5178374785622457	
Gfra2_3	mean_1_var_1	0.017274043255202577	0.012987012987012988	0.034196267308850094	0.012235464438523514	
Gpatch8_3	mean_1_var_1	-0.013624599748703283	0.6233766233766234	0.7276997811348956	0.5812796894816217	
Gria3_nmdSE_2	mean_1_var_1	0.03697079922435559	0.000999000999000999	0.003447940947940948	6.822580861550682e-05	
Gtf2i_10	mean_1_var_1	0.008883913166803608	0.05094905094905095	0.10474324021376763	0.05670180196195641	
