	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.02163769479507364	0.8061938061938062	0.8677386500884066	0.8062599473488232	0.8626721072817334
Aftph_4	mean_1_var_1	-0.010416987867230285	0.5004995004995005	0.6168586528164954	0.5256963718803186	0.6360830111369893
Agrn_8	mean_1_var_1	0.033797038724631946	0.014985014985014986	0.0418990292408014	0.0010114899127152317	0.0036627357859342086
Agtpbp1_11	mean_1_var_1	-0.006505339874361126	0.3916083916083916	0.5081706804944403	0.4151403998024625	0.536605406246616
Aldh3a2_2	mean_1_var_1	0.005309413014990674	0.1258741258741259	0.21628155768173057	0.14538781621216068	0.24661346299468895
Angel2_1	mean_1_var_1	0.007111196986731553	0.11188811188811189	0.1982473854131608	0.11804010352524463	0.21217335064031312
Ankfy1_5	mean_1_var_1	-0.03377454437039423	0.972027972027972	0.9864173600773907	0.9581163342225164	0.97879510402588
Arfip2_nmdSE_1	mean_1_var_1	-0.007337909679694421	0.3956043956043956	0.5130212253499925	0.43841019171081336	0.560488399434789
Arhgef40_7	mean_1_var_1	-0.01964609615853376	0.7942057942057942	0.86183467187834	0.7649289259770513	0.8307883981717938
Armc9_4	mean_1_var_1	-0.010503442315712404	0.5084915084915085	0.6255452468323756	0.5281490190135786	0.6386619524324783
B4galt3_1	mean_1_var_1	-0.009585853246049833	0.4645354645354645	0.5789946730385601	0.5020816253407937	0.6188085996140719
Bclaf1_1	mean_1_var_1	0.04129613624828077	0.000999000999000999	0.003502670169336836	0.00014654870330403066	0.0006133448887756062
Btrc_1	mean_1_var_1	0.011698916717453932	0.04595404595404595	0.10207446185099817	0.06528923690425581	0.1361962255673248
Cacna1e_2	mean_1_var_1	-0.010040105490209462	0.4935064935064935	0.6108909770180007	0.5149943380299924	0.6292616742493085
Camk2d_1	mean_1_var_1	0.023027547854705448	0.02197802197802198	0.0553768158330896	0.010190547841449024	0.028654609771995274
Camta1_5	mean_1_var_1	0.039814731618533585	0.000999000999000999	0.003502670169336836	0.00021926469864227464	0.0008806024664663475
Ccdc127_2	mean_1_var_1	0.004051695506845878	0.14985014985014986	0.24640372034912977	0.16682712616231626	0.27184616951695467
Ccdc136_17	mean_1_var_1	0.01489532760644766	0.04595404595404595	0.10207446185099817	0.04096073648148451	0.09400626020759802
Chtf8_3	mean_1_var_1	-0.0010665424244488651	0.26373626373626374	0.3777432941698071	0.2735923228237902	0.39875479308921913
Ciz1_2	mean_1_var_1	-0.011139349498284785	0.5374625374625375	0.6499242849607814	0.5461504212979731	0.6524922100603188
Clcn4_nmdSE_1	mean_1_var_1	-0.0030402177612955743	0.3126873126873127	0.43078473847704624	0.32228694607471203	0.4493032600256154
Clip1_11	mean_1_var_1	0.017148210091419928	0.02197802197802198	0.0553768158330896	0.02870242174307988	0.07018501159316458
Cyb5r4_1	mean_1_var_1	-0.00436561457665783	0.34065934065934067	0.46007525083612044	0.3568664213918382	0.48270237245482284
Dcaf11_1	mean_1_var_1	-0.04787846869147137	0.9920079920079921	0.9980323320404293	0.9968759709956707	0.9999999107550044
Dcun1d2_7	mean_1_var_1	-0.030048956874206282	0.932067932067932	0.9591544818817546	0.9283616630946042	0.9567563433033038
Dhcr7_5	mean_1_var_1	0.0039513566163675495	0.14985014985014986	0.24640372034912977	0.16862122859857648	0.273648165268547
Dis3l2_7	mean_1_var_1	0.021448468904042842	0.02197802197802198	0.0553768158330896	0.013667145184994439	0.03691614759207737
Dlg4_3	mean_1_var_1	0.024095883929003498	0.02197802197802198	0.0553768158330896	0.008301090411020154	0.0240212048575081
Dnajc17_1	mean_1_var_1	-0.011387723522406058	0.5514485514485514	0.6584262584262585	0.5531578355167992	0.6562628216674841
Dnajc5_1	mean_1_var_1	-0.011608983005996013	0.5764235764235764	0.6804810391508729	0.5593863834554738	0.6603682484023051
Dram2_1	mean_1_var_1	-0.0024071829513920484	0.2937062937062937	0.41089944538220396	0.3062767377304177	0.4312168233768204
Ece2_4	mean_1_var_1	0.023097007184964723	0.02197802197802198	0.0553768158330896	0.010057179776374863	0.028359820419054223
Elovl6_2	mean_1_var_1	-0.02431705263502151	0.8571428571428571	0.9087999999999999	0.8543247801493213	0.8971989767231119
Epb41l4aos_1	mean_1_var_1	-0.010864123870850232	0.5224775224775224	0.6356703272247948	0.5383687145962641	0.64552292196464
Epn2_5	mean_1_var_1	0.001939235223656766	0.18081918081918083	0.28484035774051625	0.20718805805214857	0.3235584127318707
Eri3_5	mean_1_var_1	0.004684378217526738	0.13486513486513488	0.22876440965178169	0.15579935913985798	0.25918755311300223
Exoc6b_6	mean_1_var_1	-0.003538554951892001	0.32367632367632365	0.44224641338043397	0.335128637529273	0.46202200513744435
Fam13b_8	mean_1_var_1	-0.016137823870861795	0.7282717282717283	0.8079264485514486	0.6816081695333265	0.7621130714467115
Fam160a2_2	mean_1_var_1	-0.03922197517747488	0.987012987012987	0.9975458771802094	0.9828909217813065	0.9959159798681129
Fam189b_2	mean_1_var_1	-0.008710459414825483	0.4385614385614386	0.5549714448505028	0.4772030555784993	0.5951566339335361
Fam189b_3	mean_1_var_1	-0.0008091481120580124	0.25374625374625376	0.36687094723458363	0.2675203932540444	0.39191639041196785
Fam49b_1	mean_1_var_1	-0.012567639548152033	0.6143856143856143	0.7167832167832168	0.5861843780691217	0.6842833491493916
Fbxl5_7	mean_1_var_1	0.027606906007235203	0.014985014985014986	0.0418990292408014	0.004076771520994628	0.012988175935476477
Fbxo42_3	mean_1_var_1	0.00779489033731774	0.1028971028971029	0.18784154321344407	0.10868148070689437	0.19986936507428862
Flcn_1	mean_1_var_1	0.019157817687711406	0.02197802197802198	0.0553768158330896	0.020504079016644524	0.05225911421165296
Fnbp4_6	mean_1_var_1	-0.0057222261184088795	0.35564435564435565	0.4741924741924742	0.39351981442044065	0.5180946732068435
Gfra2_1	mean_1_var_1	-0.0234462908177265	0.8331668331668332	0.890503045341755	0.8396697305975933	0.8869624996960762
Gfra2_3	mean_1_var_1	0.006005050203402606	0.1258741258741259	0.21628155768173057	0.13436278369205945	0.23247451173177908
Gpatch8_3	mean_1_var_1	-0.027280327392469893	0.9050949050949051	0.9410714808204348	0.8973091510518516	0.9325702941908586
Gria3_nmdSE_2	mean_1_var_1	0.036954021326790286	0.006993006993006993	0.022827746965678002	0.000463410566367267	0.0017819346343097228
Gtf2i_10	mean_1_var_1	0.000880459371309507	0.2087912087912088	0.31831052383199626	0.2294212829603064	0.3500303227360622
Ints10_3	mean_1_var_1	0.03604929559752527	0.006993006993006993	0.022827746965678002	0.0005823960828884147	0.002188664296374609
Isy1_3	mean_1_var_1	0.00485111309831025	0.1258741258741259	0.21628155768173057	0.1529750495916728	0.2555583181413828
Isyna1_3	mean_1_var_1	0.004190795821581277	0.14985014985014986	0.24640372034912977	0.16436040079224812	0.26925598662827177
Josd2_9	mean_1_var_1	-0.005963011644857536	0.36863136863136864	0.48661298860502045	0.40013598407953616	0.5223048826986986
