	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.04553734084441903	0.7262737262737263	0.8184989613561042	0.7199627939922209	
Aftph_4	mean_1_var_1	-0.04406638037890675	0.7102897102897103	0.8032172605551446	0.7004165295444704	
Agrn_8	mean_1_var_1	0.017675237774589944	0.006993006993006993	0.02613176297386824	0.03057247009370143	
Agtpbp1_11	mean_1_var_1	-0.0190740419632671	0.35264735264735264	0.5117247715787862	0.32812241397554404	
Aldh3a2_2	mean_1_var_1	-0.0032223591822962113	0.12087912087912088	0.251105216622458	0.14439423674770618	
Angel2_1	mean_1_var_1	-0.0065349398426123775	0.1878121878121878	0.34086960916229214	0.1756366174663873	
Ankfy1_5	mean_1_var_1	-0.04786530070333737	0.7562437562437563	0.8380226239758013	0.749573734653303	
Arfip2_nmdSE_1	mean_1_var_1	-0.027740425416148032	0.4775224775224775	0.623394953670183	0.4567990231352519	
Arhgef40_7	mean_1_var_1	-0.08496540623000236	0.974025974025974	0.9799411115200589	0.982747372806044	
Armc9_4	mean_1_var_1	-0.029202212718278976	0.4975024975024975	0.6393244764285488	0.47937371815612834	
B4galt3_1	mean_1_var_1	-0.0255918648981982	0.4255744255744256	0.5794807931794234	0.4238901351235278	
Bclaf1_1	mean_1_var_1	0.024673189492374275	0.006993006993006993	0.02613176297386824	0.016006575362885633	
Btrc_1	mean_1_var_1	0.02237703161586228	0.006993006993006993	0.02613176297386824	0.01993643130353377	
Cacna1e_2	mean_1_var_1	-0.043052564720918354	0.7082917082917083	0.8014137257165145	0.6865952069535681	
Camk2d_1	mean_1_var_1	-0.014431182594457638	0.3076923076923077	0.46445885170258744	0.2658436631819302	
Camta1_5	mean_1_var_1	0.04240728589591439	0.006993006993006993	0.02613176297386824	0.002305389632133421	
Ccdc127_2	mean_1_var_1	-0.003916872702801807	0.12487512487512488	0.25566606411096626	0.15061291522311154	
Ccdc136_17	mean_1_var_1	-0.020457015331099303	0.3596403596403596	0.5180906050471268	0.34775486486934215	
Chtf8_3	mean_1_var_1	-0.03762949853066252	0.6383616383616384	0.7518145361747258	0.6085686377616063	
Ciz1_2	mean_1_var_1	-0.004879548603440429	0.17282717282717283	0.3233046023743698	0.15952357503393583	
Clcn4_nmdSE_1	mean_1_var_1	-0.017191216940186962	0.34765234765234765	0.5070674006844219	0.30214799048627383	
Clip1_11	mean_1_var_1	0.01058216742306311	0.017982017982017984	0.060182242000423825	0.05513831410852028	
Cyb5r4_1	mean_1_var_1	-0.023356091726901212	0.4125874125874126	0.5664528841324422	0.39020343697994303	
Dcaf11_1	mean_1_var_1	-0.0632304002977407	0.8921078921078921	0.9290259243114141	0.8979451288810283	
Dcun1d2_7	mean_1_var_1	-0.03825077053370034	0.6383616383616384	0.7518145361747258	0.6178048408155913	
Dhcr7_5	mean_1_var_1	0.008499665430459219	0.03796203796203796	0.1113105183901644	0.06475125380481031	
Dis3l2_7	mean_1_var_1	-0.017924028044335058	0.34965034965034963	0.5088615630343302	0.312148249902347	
Dlg4_3	mean_1_var_1	-0.013510380806009033	0.29270729270729273	0.4500402922676705	0.25424321355648305	
Dnajc17_1	mean_1_var_1	-0.03171776433936626	0.5474525474525475	0.678513506443681	0.518336330975269	
Dnajc5_1	mean_1_var_1	-0.02337522476323327	0.4125874125874126	0.5664528841324422	0.3904886312571828	
Dram2_1	mean_1_var_1	-0.023018835727026277	0.39760239760239763	0.5531375552369255	0.3851861783573757	
Ece2_4	mean_1_var_1	-0.012615764580313644	0.27672327672327673	0.4369546259935458	0.2432321979415759	
Elovl6_2	mean_1_var_1	-0.04322759481798097	0.7082917082917083	0.8014137257165145	0.6890009261703227	
Epb41l4aos_1	mean_1_var_1	-0.015419653855206496	0.3206793206793207	0.47789392017278076	0.2785883758745684	
Epn2_5	mean_1_var_1	-0.004023717734564457	0.13086913086913088	0.2625306076365612	0.1515852060736988	
Eri3_5	mean_1_var_1	-0.002575153966650254	0.11688311688311688	0.24798680508392354	0.138757066021302	
Exoc6b_6	mean_1_var_1	-0.0262731476728925	0.4405594405594406	0.5933822275285691	0.43427901091685084	
Fam13b_8	mean_1_var_1	-0.030429229635991747	0.5054945054945055	0.6458374530353964	0.4983770538086534	
Fam160a2_2	mean_1_var_1	-0.03770430544874312	0.6383616383616384	0.7518145361747258	0.609684124191217	
Fam189b_2	mean_1_var_1	-0.03778021454108119	0.6383616383616384	0.7518145361747258	0.610815123403474	
Fam189b_3	mean_1_var_1	0.0013540692867521132	0.1018981018981019	0.22508158508158507	0.10775950086221509	
Fam49b_1	mean_1_var_1	-0.035237561575423314	0.6043956043956044	0.726883521801852	0.5724783892263944	
Fbxl5_7	mean_1_var_1	0.018965458686104452	0.006993006993006993	0.02613176297386824	0.027267786141873078	
Fbxo42_3	mean_1_var_1	0.006053985861248043	0.056943056943056944	0.15339132412303144	0.0776472730798601	
Flcn_1	mean_1_var_1	-0.0076172386027731865	0.2017982017982018	0.35384004641646566	0.1867098591173726	
Fnbp4_6	mean_1_var_1	-0.010661140748521352	0.25674325674325676	0.4142902551993462	0.22009843566907128	
Gfra2_1	mean_1_var_1	-0.09205182664544904	0.9920079920079921	0.9945077592432756	0.9915609812642693	
Gfra2_3	mean_1_var_1	-0.07438504399418419	0.936063936063936	0.9538160455638671	0.9557324245595488	
Gpatch8_3	mean_1_var_1	-0.03955234153627805	0.6533466533466533	0.7622377622377623	0.6369333043349643	
Gria3_nmdSE_2	mean_1_var_1	0.054632644306786604	0.000999000999000999	0.004053089767375482	0.00047003923444285917	
Gtf2i_10	mean_1_var_1	-0.02034791260395653	0.3596403596403596	0.5180906050471268	0.3461902776347242	
