	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	0.4155844155844156	0.2857142857142857	0.6413586413586414																		
Aftph_4	0.00999000999000999	0.006993006993006993	0.000999000999000999	0.16083916083916083																	
Agrn_8	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.44555444555444557																
Agtpbp1_11	0.24875124875124874	0.45054945054945056	0.8811188811188811	0.9370629370629371																	
Aldh3a2_2	0.7832167832167832	0.5044955044955045																			
Angel2_1	0.000999000999000999	0.000999000999000999	0.12487512487512488	0.994005994005994																	
Ankfy1_5	0.4155844155844156	0.16783216783216784	0.14285714285714285	0.37462537462537465																	
Arfip2_nmdSE_1	0.006993006993006993	0.06293706293706294	0.014985014985014986	0.000999000999000999	0.000999000999000999																
Arhgef40_7	0.8041958041958042	0.9400599400599401	0.07992007992007992																		
Armc9_4	0.5224775224775224	0.9440559440559441	0.7822177822177823																		
B4galt3_1	0.00999000999000999	0.16983016983016982	0.7162837162837162	0.967032967032967																	
Bclaf1_1	0.000999000999000999	0.00999000999000999	0.19080919080919082	0.24975024975024976																	
Btrc_1	0.2857142857142857	0.42357642357642356	0.3786213786213786	0.12187812187812187																	
Cacna1e_2	0.17482517482517482	0.00999000999000999	0.3196803196803197																		
Camk2d_1	0.09090909090909091	0.21078921078921078	0.2137862137862138	1.0	1.0																
Camta1_5	0.000999000999000999	0.000999000999000999	0.16783216783216784	0.04495504495504495																	
Ccdc127_2	0.20279720279720279	0.4515484515484515	0.9280719280719281	0.995004995004995																	
Ccdc136_17	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Chtf8_3	0.000999000999000999	0.000999000999000999	0.6583416583416584	0.16083916083916083																	
Ciz1_2	0.45054945054945056	0.4045954045954046	0.7402597402597403	0.984015984015984																	
Clcn4_nmdSE_1	0.34765234765234765	0.3826173826173826	0.43756243756243757	1.0																	
Clip1_11	0.006993006993006993	0.002997002997002997	0.18281718281718282	0.9600399600399601	0.4695304695304695																
Cyb5r4_1	0.5074925074925075	0.1978021978021978	0.15084915084915085																		
Dcaf11_1	0.968031968031968	1.0																			
Dcun1d2_7	0.44255744255744256	0.997002997002997																			
Dhcr7_5	0.000999000999000999	0.002997002997002997	0.000999000999000999	0.002997002997002997	0.006993006993006993	0.000999000999000999															
Dis3l2_7	0.1978021978021978	0.13686313686313686	0.017982017982017984																		
Dlg4_3	0.000999000999000999	0.12187812187812187	0.000999000999000999	0.002997002997002997	0.000999000999000999	0.000999000999000999															
Dnajc17_1	0.6653346653346653	0.6823176823176823	0.3646353646353646	0.9790209790209791																	
Dnajc5_1	0.5874125874125874	0.6583416583416584	0.9370629370629371	1.0	1.0																
Dram2_1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Ece2_4	0.000999000999000999	0.5004995004995005	0.9590409590409591	1.0																	
Elovl6_2	0.6653346653346653	0.3106893106893107	0.2977022977022977																		
Epb41l4aos_1	0.9250749250749251	0.7882117882117882	1.0	1.0																	
Epn2_5	0.000999000999000999	0.000999000999000999	0.0919080919080919																		
Eri3_5	0.15584415584415584	0.33266733266733267	0.024975024975024976	0.000999000999000999	0.000999000999000999	0.000999000999000999															
Exoc6b_6	0.030969030969030968	0.000999000999000999	0.014985014985014986	0.5004995004995005																	
Fam13b_8	0.7262737262737263	0.3996003996003996	0.2057942057942058	0.9300699300699301																	
Fam160a2_2	0.6633366633366633	0.9370629370629371	0.7482517482517482	1.0																	
Fam189b_2	0.7502497502497503	0.02197802197802198	0.02197802197802198																		
Fam189b_3	0.6863136863136863	0.13286713286713286	0.000999000999000999																		
Fam49b_1	0.34765234765234765	0.04795204795204795	0.5094905094905094																		
Fbxl5_7	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Fbxo42_3	0.5144855144855145	0.5984015984015985																			
Flcn_1	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Fnbp4_6	0.7062937062937062	0.030969030969030968																			
Gfra2_1	0.8381618381618382	0.994005994005994	0.9120879120879121																		
Gfra2_3	0.00999000999000999	0.06693306693306693	0.35364635364635366	0.989010989010989																	
Gpatch8_3	0.5874125874125874	0.7822177822177823	1.0	1.0																	
Gria3_nmdSE_2	0.000999000999000999	0.002997002997002997	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Gtf2i_10	0.15584415584415584	0.06693306693306693	0.967032967032967	1.0																	
Ints10_3	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Isy1_3	0.15584415584415584	0.006993006993006993	0.014985014985014986	0.004995004995004995																	
Isyna1_3	0.00999000999000999	0.002997002997002997	0.000999000999000999	0.014985014985014986																	
Josd2_9	0.06693306693306693	0.002997002997002997	0.014985014985014986																		
Josd2_nmdSE_4	0.06693306693306693	0.006993006993006993	0.000999000999000999																		
Kcna6_1	0.00999000999000999	0.12187812187812187	0.5484515484515484	0.9010989010989011																	
Kctd20_3	0.07792207792207792	0.20279720279720279	0.6493506493506493																		
Klhl26_2	0.5694305694305695	0.977022977022977	1.0																		
Lmbr1_11	0.958041958041958	1.0																			
Lrrc45_5	0.4155844155844156	0.39760239760239763	0.2807192807192807	0.9300699300699301																	
Lsm5_3	0.000999000999000999	0.973026973026973																			
Lztfl1_3	0.000999000999000999	0.000999000999000999	0.014985014985014986																		
Lztfl1_5	0.000999000999000999	0.000999000999000999	0.004995004995004995																		
Map7d2_4	0.5694305694305695	0.9370629370629371	0.994005994005994	1.0																	
Mapk8ip3_4	0.2087912087912088	0.8601398601398601	0.42357642357642356	1.0	1.0																
Mast2_6	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Mia3_4	0.5874125874125874	0.3096903096903097	0.8121878121878122	1.0																	
Miat_5	0.06693306693306693	0.002997002997002997	0.000999000999000999	0.9400599400599401																	
Mllt10_22	0.030969030969030968	0.01998001998001998	0.000999000999000999	0.000999000999000999																	
Mroh1_10	0.3596403596403596	0.7752247752247752	0.9370629370629371																		
Mtmr7_6	0.23876123876123875	0.002997002997002997	0.000999000999000999																		
Nadk_4	0.5874125874125874	0.5874125874125874	1.0																		
Ncoa5_3	0.2907092907092907	0.5874125874125874																			
Nf2_4	0.26873126873126874	0.13386613386613386	0.006993006993006993	0.000999000999000999	0.000999000999000999																
Nfasc_6	0.15584415584415584	0.05094905094905095	0.41058941058941056																		
Nrxn1_3	0.1008991008991009	0.04495504495504495	0.000999000999000999	0.8601398601398601																	
Odf2_1	0.6063936063936064	0.8041958041958042	0.989010989010989																		
Odf2_12	0.4155844155844156	0.7262737262737263	1.0																		
Oraov1_1	0.056943056943056944	0.002997002997002997	0.014985014985014986																		
Pccb_4	0.22377622377622378	0.000999000999000999	0.008991008991008992																		
Pdp1_1	0.030969030969030968	0.12187812187812187	0.6953046953046953	1.0																	
Phf20_1	0.08491508491508491	0.07592407592407592	0.00999000999000999																		
Ppfia2_5	0.4155844155844156	0.7692307692307693	1.0	0.995004995004995																	
Pphln1_6	0.05194805194805195	0.1028971028971029	0.000999000999000999	0.000999000999000999																	
Ppip5k2_1	0.8041958041958042	0.989010989010989	0.6793206793206793	0.000999000999000999																	
Ppp1r16a_5	0.26873126873126874	0.41858141858141856	0.058941058941058944	0.000999000999000999																	
Preb_7	0.45054945054945056	0.8351648351648352	0.98001998001998	0.995004995004995																	
Prr14l_5	0.000999000999000999	0.024975024975024976	0.000999000999000999																		
Ptk2_7	0.4995004995004995	0.952047952047952	0.42357642357642356	0.952047952047952																	
Rbm18_1	0.6063936063936064	0.7442557442557443	0.6163836163836164	0.989010989010989	0.6053946053946054																
Rbm25_4	0.5874125874125874	0.2727272727272727	0.02197802197802198	0.002997002997002997	0.000999000999000999	0.000999000999000999															
Rbm33_2	0.000999000999000999	0.04495504495504495	0.01098901098901099	0.000999000999000999																	
Rbm39_nmdSE_9	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Rbms3_1	0.6483516483516484	0.7062937062937062	0.7682317682317682	0.000999000999000999																	
Rcbtb2_8	0.5744255744255744	0.7262737262737263	0.6973026973026973	0.994005994005994																	
Rexo4_1	0.7772227772227772	0.6973026973026973	0.8811188811188811	1.0																	
Rgs19_1	0.15584415584415584	0.6863136863136863	0.984015984015984																		
