	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Elovl6_2_random1	mean_1_var_1	-0.01646595999016803	0.5614385614385614	0.8258392819733761	0.5303648000269192	
Fam49b_1_random1	mean_1_var_1	-0.025016737034625928	0.7652347652347652	0.9342439068587478	0.7410574726130505	
Lsm5_3_random1	mean_1_var_1	-0.039408906866557555	0.938061938061938	0.9953933603222703	0.9459410165063717	
Msi1_6_random1	mean_1_var_1	-0.028063459631246034	0.8141858141858141	0.9544150605682508	0.8022973494438295	
Ttyh3_3_random1	mean_1_var_1	-0.008329630891584583	0.3206793206793207	0.6315056750250695	0.32039757194873036	
Ubxn2a_2_random1	mean_1_var_1	0.01223385980087971	0.028971028971028972	0.12897032810686346	0.0330034257380778	
Agtpbp1_11_random1	mean_1_var_1	0.01072355792221198	0.04095904095904096	0.16809508899061137	0.041138460358488206	
Alg9_4_random1	mean_1_var_1	-0.026825354377713086	0.7912087912087912	0.940715093496875	0.7785370527860476	
Arfip2_nmdSE_1_random1	mean_1_var_1	-0.022942174420634648	0.7282717282717283	0.912164209917019	0.6943486996748457	
B4galt3_1_random1	mean_1_var_1	-0.01918159687782599	0.6223776223776224	0.8559508181048695	0.6015445258344713	
Bclaf1_1_random1	mean_1_var_1	-0.01216951086121346	0.41058941058941056	0.7090123608859217	0.4166664007812909	
Btrc_1_random1	mean_1_var_1	-0.017349199710594267	0.5824175824175825	0.8330472016319606	0.5537366779810168	
Ccdc127_2_random1	mean_1_var_1	0.006149688882743035	0.07392607392607392	0.2602715253163396	0.0760000609600995	
Clcn4_nmdSE_1_random1	mean_1_var_1	-0.025996621724257235	0.7772227772227772	0.9367783006006267	0.7617605031042151	
Dnajc5_1_random1	mean_1_var_1	-0.04254162508013302	0.9660339660339661	1.0	0.9652913126276249	
Ehmt2_8_random1	mean_1_var_1	-0.00425995377263848	0.22677322677322678	0.5238455188049139	0.23023432442350295	
Epb41l4aos_1_random1	mean_1_var_1	0.014444836846404841	0.01898101898101898	0.09353310966214191	0.023523805604259908	
Exoc6b_6_random1	mean_1_var_1	-0.029878610386448113	0.8441558441558441	0.9666913268900572	0.8342120111136756	
Flcn_1_random1	mean_1_var_1	-0.038763986802240954	0.9330669330669331	0.995271051529116	0.9410545184151118	
Gria3_nmdSE_2_random1	mean_1_var_1	-0.03350166964820612	0.8951048951048951	0.9847586395999306	0.8873659769806967	
Gtf2i_10_random1	mean_1_var_1	-0.013098469527071674	0.44555444555444557	0.7419012154579373	0.4409905570463519	
Gusb_4_random1	mean_1_var_1	-0.04169355149794328	0.954045954045954	1.0	0.9607213265810657	
Hook2_2_random1	mean_1_var_1	-0.005950446194384372	0.2597402597402597	0.5618699482335846	0.2658862115960333	
Isyna1_3_random1	mean_1_var_1	-0.024328937993759833	0.7562437562437563	0.9301110399962346	0.7259887215407748	
Map7d2_4_random1	mean_1_var_1	-0.006968567872308314	0.29270729270729273	0.6042398542398543	0.288632611230879	
Mtmr7_6_random1	mean_1_var_1	-0.0011727650829546268	0.16383616383616384	0.4301351099568796	0.17257929791422327	
Nf2_4_random1	mean_1_var_1	0.0038755408099081365	0.09290709290709291	0.303400874659782	0.10013302472090635	
Nfasc_6_random1	mean_1_var_1	-0.013386128687482873	0.4565434565434565	0.7506531738144254	0.4485725819738452	
Nrxn1_3_random1	mean_1_var_1	-0.0067691832675547525	0.28771228771228774	0.5970663298965186	0.2841066777468454	
Pdp1_1_random1	mean_1_var_1	-0.010864989519702136	0.3756243756243756	0.6755015204982504	0.3830600939296605	
Pum1_14_random1	mean_1_var_1	-0.023791383456986347	0.7462537462537463	0.9243013743013743	0.7139174311681438	
Rbfox3_3_random1	mean_1_var_1	-0.03293232546034616	0.8861138861138861	0.98154336599348	0.8799341376646148	
Rbm39_nmdSE_9_random1	mean_1_var_1	0.007266822466718318	0.059940059940059943	0.2205377138472589	0.06590196576479898	
Rundc3b_1_random1	mean_1_var_1	-0.016886837644506575	0.5734265734265734	0.8312542857839025	0.5415199343893267	
Slc38a10_17_random1	mean_1_var_1	-0.005532553759078893	0.2517482517482518	0.5531889527627408	0.2568200347872217	
Tfdp1_nmdSE_1_random1	mean_1_var_1	-0.0025814756793093624	0.18581418581418582	0.46182019246195205	0.1976495918798058	
