	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Mettl5_1	mean_1_var_1	-0.10092065224221777	0.952047952047952	1.0	0.9595764948252294	
Zfp180_2	mean_1_var_1	-0.021316891208478364	0.4695304695304695	1.0	0.40151168885030497	
Slc2a8_2	mean_1_var_1	-0.0314193898137201	0.6353646353646354	1.0	0.501507160108134	
Lrrc28_3	mean_1_var_1	-0.0011827752453390144	0.14085914085914086	0.9792239010989011	0.2253982427692502	
Nlgn3_1	mean_1_var_1	-0.005563189940009975	0.1938061938061938	0.9792239010989011	0.25969210797761355	
Rrnad1_3	mean_1_var_1	0.018393960555015524	0.023976023976023976	0.6686974996834152	0.10660833923914781	
Epb41l4aos_1	mean_1_var_1	-0.061861502851607464	0.8631368631368631	1.0	0.7783981000507102	
Mtmr2_3	mean_1_var_1	-0.048068021663891944	0.8131868131868132	1.0	0.6631471357537142	
Eif2d_5	mean_1_var_1	-0.01156845934674568	0.27972027972027974	0.9792239010989011	0.31073225785073466	
Trmt1l_1	mean_1_var_1	-0.02356797932394856	0.4985014985014985	1.0	0.4234740780846521	
Tmem41a_1	mean_1_var_1	-0.051203900687470175	0.8201798201798202	1.0	0.6913451568734663	
Lsg1_nmdSE_1	mean_1_var_1	-0.03824604423747929	0.7432567432567433	1.0	0.569414845137425	
Ttyh3_3	mean_1_var_1	-0.010535436209103868	0.27172827172827174	0.9792239010989011	0.30164748791111484	
Plgrkt_4	mean_1_var_1	-0.012075369835253594	0.2887112887112887	0.9792239010989011	0.3152332484299313	
Strada_6	mean_1_var_1	-0.027810173066142443	0.5814185814185814	1.0	0.4654608202611554	
Zfp57_4	mean_1_var_1	-0.012557048399613916	0.3066933066933067	0.9792239010989011	0.3195357755859469	
Wdr82_1	mean_1_var_1	-0.05082398386804442	0.8201798201798202	1.0	0.6879841435424878	
March8_5	mean_1_var_1	-0.06942129123350693	0.8841158841158842	1.0	0.8305337670546867	
Plgrkt_3	mean_1_var_1	-0.006640126713334185	0.2007992007992008	0.9792239010989011	0.2685177659841391	
Arhgef40_7	mean_1_var_1	-0.018942525364882848	0.4325674325674326	0.9917273602747793	0.3786803467972517	
Pantr1_3	mean_1_var_1	-0.04672412119638666	0.8021978021978022	1.0	0.6507638008159672	
Ankrd54_2	mean_1_var_1	-0.05216685775164689	0.8201798201798202	1.0	0.6997921746268448	
Eif5a_5	mean_1_var_1	-0.0788986069586803	0.922077922077922	1.0	0.8837259822174471	
Ubap2_5	mean_1_var_1	-0.03185906378595275	0.6503496503496503	1.0	0.5059033758452862	
Ablim2_nmdSE_1	mean_1_var_1	-0.00506016043189305	0.1938061938061938	0.9792239010989011	0.25562161422865926	
Pls3_1	mean_1_var_1	-0.01875987746888953	0.4225774225774226	0.9830912084261658	0.37694034894577294	
Telo2_4	mean_1_var_1	-0.03864049456476059	0.7462537462537463	1.0	0.5732957915949457	
Dhrs7_2	mean_1_var_1	-0.054893101338733825	0.8401598401598401	1.0	0.7231198442486332	
Fam189b_nmdSE_1	mean_1_var_1	0.008095711610694606	0.06593406593406594	0.9290565549558356	0.16190749419983186	
Elovl6_2	mean_1_var_1	-0.022040799649731775	0.4915084915084915	1.0	0.40854405616125844	
