	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	0.39536145134891604	0.5939318186145484	0.2908411867327722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aftph_4	0.000724924748230644	0.005158156547422192	0.00852628406119277	0.1279091084692909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrn_8	4.9937022262886e-13	2.8026377835201593e-10	2.1252891455722797e-06	0.0011876579440535464	0.05447177314578481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agtpbp1_11	0.5674993142470772	0.7605180082027876	0.8406074720457524	0.47874200011257184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aldh3a2_2	0.7907256947563275	0.6728387108883083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Angel2_1	0.00028457556907271914	0.00023783427908937273	0.039240781103127	0.031836665242309714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankfy1_5	0.3416757720498734	0.050095998169360396	0.0553297839527314	0.393032344546483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arfip2_nmdSE_1	0.01524671002107772	0.03189571890385969	0.024231002880778445	0.0740086967130579	0.0844183864574627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arhgef40_7	0.8814852666985457	0.7124680783105248	0.6053322339141987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Armc9_4	0.2985866449267918	0.5551006256581406	0.7197282251654936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B4galt3_1	0.25465210008386135	0.33983935246822095	0.5406233552092788	0.7574801764001402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bclaf1_1	9.523539445131278e-07	0.0005584984136066901	0.04847429474896162	0.051164329918666845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Btrc_1	0.3684846296448455	0.21821734788516467	0.6246236910402025	0.765308108807397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cacna1e_2	0.006410839716180431	0.008576341215923818	0.033914621727674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camk2d_1	2.6238510756491e-05	0.000522065472927936	0.0023146959550683615	0.002290873503118649	0.0945267206554625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camta1_5	1.8556299452473778e-13	1.649778969147626e-10	0.00014707972701038258	0.001078814293956017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc127_2	0.36958243054554724	0.29645177198161493	0.33851696849915536	0.7110832151227304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc136_17	3.804425352588725e-06	5.496504039006825e-06	0.002359036273383417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
