	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Acbd5_5	mean_1_var_1	0.02858684577867927	0.000999000999000999	0.0011364297078582792	2.087199235224632e-07	
Add1_7	mean_1_var_1	0.004604645659388285	0.000999000999000999	0.0011364297078582792	0.023356805676880456	
Add1_9	mean_1_var_1	0.004152317859485479	0.000999000999000999	0.0011364297078582792	0.02674475472304338	
Arpc5l_nmdSE_1	mean_1_var_1	0.03569937950300876	0.000999000999000999	0.0011364297078582792	1.1726014285949018e-09	
Cnep1r1_1	mean_1_var_1	0.0419015009402261	0.000999000999000999	0.0011364297078582792	6.604249266551192e-12	
Eml1_4	mean_1_var_1	0.014998358715410054	0.000999000999000999	0.0011364297078582792	0.0004496933112077617	
Epn2_16	mean_1_var_1	0.01886171623723309	0.000999000999000999	0.0011364297078582792	6.806069568513242e-05	
Eri3_1	mean_1_var_1	0.026679198262277527	0.000999000999000999	0.0011364297078582792	7.305912758172891e-07	
Mrps17_1	mean_1_var_1	0.01884560177667015	0.000999000999000999	0.0011364297078582792	6.863186607384593e-05	
Mrps17_2	mean_1_var_1	0.01873328695545083	0.000999000999000999	0.0011364297078582792	7.27400190146529e-05	
Mrps17_3	mean_1_var_1	0.01795630310735643	0.000999000999000999	0.0011364297078582792	0.00010816776827927017	
Mrps17_4	mean_1_var_1	0.018801203983464757	0.000999000999000999	0.0011364297078582792	7.022897504174303e-05	
Mrps17_5	mean_1_var_1	0.019939765624825252	0.000999000999000999	0.0011364297078582792	3.855619473445321e-05	
Pcyox1_2	mean_1_var_1	0.03301537070276914	0.000999000999000999	0.0011364297078582792	9.110863446286565e-09	
Pex2_3	mean_1_var_1	0.020064256542214352	0.000999000999000999	0.0011364297078582792	3.60650320518273e-05	
Rap1a_1	mean_1_var_1	0.03668028565323346	0.000999000999000999	0.0011364297078582792	5.385760167020233e-10	
Smarce1_10	mean_1_var_1	0.09296795837135478	0.000999000999000999	0.0011364297078582792	1.0459228962319357e-40	
Smarce1_5	mean_1_var_1	0.029240979612715337	0.000999000999000999	0.0011364297078582792	1.340331677783928e-07	
Smarce1_6	mean_1_var_1	0.076705353721808	0.000999000999000999	0.0011364297078582792	1.5465489926921033e-29	
Srp19_1	mean_1_var_1	0.028133527744975698	0.000999000999000999	0.0011364297078582792	2.825745510773233e-07	
Srp19_4	mean_1_var_1	0.02660133274566667	0.000999000999000999	0.0011364297078582792	7.67982943901473e-07	
Srp9_1	mean_1_var_1	0.03263812482854609	0.000999000999000999	0.0011364297078582792	1.20420880465259e-08	
Thra_4	mean_1_var_1	0.042545257140128606	0.000999000999000999	0.0011364297078582792	3.7237071474100875e-12	
Tpd52_3	mean_1_var_1	0.32227740369303864	0.000999000999000999	0.0011364297078582792	0.0	
Tppp_1	mean_1_var_1	-0.007603115647110439	0.2957042957042957	0.300597747406258	0.33535828981726723	
