	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Aars2_2	mean_1_var_1	-0.013775739968557956	0.4985014985014985	0.6815902180934005	0.45552828909986365	0.616943431822379
Adam22_21	mean_1_var_1	-0.036272111326307484	0.8721278721278721	0.93210740093971	0.8478819323755901	0.9072560260872121
Adamts10_7	mean_1_var_1	-0.018202428869774582	0.6033966033966034	0.7710302293927207	0.5447620255527996	0.6869720018366106
Adap1_1	mean_1_var_1	-0.0062267627771572355	0.2977022977022977	0.4819187904294288	0.3106720610534629	0.50627227657139
Adgrb2_7	mean_1_var_1	0.021104614244450547	0.014985014985014986	0.06333943833943834	0.030199961501748255	0.11646278712184226
Agfg1_9	mean_1_var_1	-0.007334774787057525	0.3306693306693307	0.5149698915157338	0.33075026718401035	0.5208710546597697
Agrn_8	mean_1_var_1	0.028174485678865626	0.011988011988011988	0.05224369902174198	0.012681000416190457	0.057174090765342654
Agtpbp1_11	mean_1_var_1	-0.014189434876167632	0.5054945054945055	0.6865250777485808	0.4638422021118486	0.6234640125551973
Aldh3a2_2	mean_1_var_1	-0.023036596612343654	0.7042957042957043	0.8346520621309993	0.639534554276323	0.7517155430373774
Anapc15_1	mean_1_var_1	-0.003042618605882198	0.2087912087912088	0.37598890261612156	0.2561776974061652	0.4600948159663856
Angel2_1	mean_1_var_1	0.0044518995978543715	0.1068931068931069	0.23530658612032937	0.1504144791812967	0.3443972902633828
Ank3_14	mean_1_var_1	-0.012876943094901217	0.4865134865134865	0.6697124963238796	0.4375372082279888	0.6034312252449453
Ankfy1_5	mean_1_var_1	-0.010667472363202608	0.4155844155844156	0.6041856232939036	0.3939293706209908	0.5681793291895176
Ap3m1_nmdSE_1	mean_1_var_1	-0.020894582733897993	0.6593406593406593	0.8093822144242312	0.5982247258535147	0.7238955264469966
Arfip2_nmdSE_1	mean_1_var_1	0.017365479313453225	0.01898101898101898	0.07493911493911494	0.04565449443596254	0.15744118383393313
Arhgef40_7	mean_1_var_1	-0.023337474836892292	0.7102897102897103	0.8375776628924837	0.6452210238043087	0.7551838763162104
Armc9_4	mean_1_var_1	-0.011593135330776404	0.4355644355644356	0.6235157099451194	0.41207072756126795	0.583740223837762
Asb1_3	mean_1_var_1	-0.016707976856488563	0.5624375624375625	0.7375303332215362	0.5146646326907629	0.6632163862338272
Asxl2_4	mean_1_var_1	-0.005980477057449286	0.2907092907092907	0.47502028173169114	0.30628201220428797	0.502038558604156
Atg10_2	mean_1_var_1	-0.004106514887377865	0.24575424575424576	0.4235462508232683	0.27381861853841183	0.4780045864733652
Atg16l2_3	mean_1_var_1	-0.036620930685907854	0.8781218781218781	0.9349565886009035	0.8520009721979058	0.9111295901806008
Atp11b_6	mean_1_var_1	-0.030716457041761982	0.8271728271728271	0.9107130433630283	0.7721912211929799	0.8517192207178383
Atp8b2_3	mean_1_var_1	0.004819399231667768	0.1048951048951049	0.23230862527405888	0.146109641069131	0.33900407190880966
Auts2_14	mean_1_var_1	0.05630429797227386	0.007992007992007992	0.043627523448151254	0.0001260146267655052	0.001007014041460886
B3gnt5_2	mean_1_var_1	-0.046717639176359405	0.9500499500499501	0.9776225465151924	0.9401813664284933	0.9757153595330654
B4galt3_1	mean_1_var_1	0.008289667848280178	0.07192807192807193	0.17869477461314198	0.10953933820832151	0.2859454346939172
Bbs1_1	mean_1_var_1	-0.022395178763293368	0.6833166833166833	0.8241322745946259	0.6273099132445674	0.7430793474110103
Bclaf1_1	mean_1_var_1	0.031513425170648965	0.011988011988011988	0.05224369902174198	0.00808822176844738	0.03980887587381379
Blzf1_1	mean_1_var_1	-0.07729178336454984	0.989010989010989	0.9965591189405963	0.9990467090735573	0.9999999999999996
Brox_nmdSE_1	mean_1_var_1	0.03886593250760133	0.00999000999000999	0.04800462695199537	0.0027414522693384865	0.01564341201191274
Btrc_1	mean_1_var_1	-0.004898961719683647	0.25574425574425574	0.434206425838225	0.2873377211156365	0.48921088928405804
Caap1_4	mean_1_var_1	0.0003245253633411411	0.15284715284715283	0.3014027009707355	0.2044959648217985	0.40743004011413425
Cacna1e_2	mean_1_var_1	0.002335505047488484	0.12887112887112886	0.26801672131968257	0.1768349724982114	0.3812286420091311
Cadps_1	mean_1_var_1	0.053155699095742276	0.007992007992007992	0.043627523448151254	0.0002319661937669279	0.0017430875301169151
Camta1_5	mean_1_var_1	0.0413165600257599	0.00999000999000999	0.04800462695199537	0.0018581541331705639	0.011179536893474298
Cask_10	mean_1_var_1	0.0028902797444846583	0.11788211788211789	0.2517575991260202	0.16964092820905863	0.37142006583901804
Cbl_3	mean_1_var_1	0.0028230970446378035	0.11788211788211789	0.2517575991260202	0.17050199070782646	0.37285824554789354
Ccdc127_2	mean_1_var_1	0.00154338885999781	0.14185814185814186	0.28575065309759184	0.18743563233460908	0.3936256062599151
Ccdc136_17	mean_1_var_1	0.03629129719174722	0.00999000999000999	0.04800462695199537	0.0040624332132485974	0.022044585579173666
Cdc25b_3	mean_1_var_1	0.030586719644854345	0.011988011988011988	0.05224369902174198	0.009187176847065241	0.044321756731152254
Cdc42bpa_6	mean_1_var_1	-0.008118857776825349	0.3436563436563437	0.52999702999703	0.34526328348128243	0.5313872885054791
Cfap69_4	mean_1_var_1	0.0024136459923071642	0.12887112887112886	0.26801672131968257	0.17581017185354797	0.3803008964709813
Chd5_1	mean_1_var_1	-0.0007224274205638233	0.16783216783216784	0.3215755912503027	0.21986277308549612	0.42438628293246927
Chtf8_3	mean_1_var_1	0.01693414550256072	0.01898101898101898	0.07493911493911494	0.04778779428514336	0.16264773972911795
Cib1_2	mean_1_var_1	-0.045357433817770396	0.9440559440559441	0.9750261051166028	0.9315486081557071	0.9706178365148764
Cib1_3	mean_1_var_1	-0.05467034271605724	0.971028971028971	0.9883494431989415	0.9749424841688319	0.9987349094486884
Ciz1_2	mean_1_var_1	-0.006952526016174155	0.31368631368631367	0.49592312449455306	0.3237645630169207	0.5157686587683218
Clasp1_11	mean_1_var_1	0.036155651855059937	0.00999000999000999	0.04800462695199537	0.004145693103648911	0.022396555051073706
Clcn4_nmdSE_1	mean_1_var_1	-0.005355250631123039	0.27372627372627373	0.45479906808387244	0.29526261869535286	0.4966831337979865
Cldn12_1	mean_1_var_1	-0.007269519271737985	0.32867132867132864	0.5136331245546262	0.3295534374275755	0.5203325350131888
Cldn34c1_1	mean_1_var_1	0.004150010855551826	0.1068931068931069	0.23530658612032937	0.15401336232275054	0.3510966287157834
Clip1_11	mean_1_var_1	0.012045014055159313	0.04095904095904096	0.12151293061122467	0.07793018360653152	0.22605324108900168
Clock_5	mean_1_var_1	-0.007953428267644454	0.33966033966033965	0.5258327937429251	0.34218136531137955	0.5286586443773633
Cmc2_3	mean_1_var_1	-0.0281827643163108	0.7952047952047953	0.8905513376534536	0.7316430180885569	0.8213834313124531
Cnot11_1	mean_1_var_1	0.006682832379072344	0.0899100899100899	0.21048182586644126	0.1255627324300757	0.3077550998890178
Cntrl_12	mean_1_var_1	-0.026335959879495094	0.7672327672327672	0.8739657098983362	0.6999571548901966	0.7955940023837529
Cntrob_3	mean_1_var_1	0.012412587426894916	0.04095904095904096	0.12151293061122467	0.07525327321121894	0.22092038084193855
Col11a1_nmdSE_1	mean_1_var_1	-0.09807550058388327	1.0	1.0	0.999983862398233	0.9999999999999996
Crem_8	mean_1_var_1	-0.05991856777923648	0.973026973026973	0.9884546607773311	0.9869500883684156	0.9999999999999996
Cyb5r4_1	mean_1_var_1	-0.013343058029212962	0.4915084915084915	0.6737946737946738	0.4468536464687046	0.6105160931177364
Dcaf11_1	mean_1_var_1	-0.03685236070701902	0.8781218781218781	0.9349565886009035	0.854692240740667	0.9126713635043613
Dcun1d2_6	mean_1_var_1	-0.020450871296659342	0.6543456543456544	0.8056879061599225	0.5895110811560847	0.7166759215652535
Dcun1d2_7	mean_1_var_1	-0.0069124791621606825	0.31368631368631367	0.49592312449455306	0.32303622143591426	0.5153632869657033
Ddx21_1	mean_1_var_1	-0.005464323519611801	0.28471528471528473	0.4677373908143139	0.29717180821688904	0.49783093743489853
Decr2_3	mean_1_var_1	-0.048931350746823726	0.9530469530469531	0.979051328418417	0.9523806931012581	0.9824958325699581
Dennd1a_1	mean_1_var_1	-0.036918641641849666	0.8781218781218781	0.9349565886009035	0.8554569094999013	0.9132208808809236
Dennd1a_4	mean_1_var_1	-0.009082538098479715	0.37462537462537465	0.5665142311105044	0.36341520011056105	0.5460401069094188
Dennd5b_5	mean_1_var_1	-0.0146160963346465	0.5144855144855145	0.6935773713182352	0.472433232667268	0.6301805776573017
