	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.005665101103779695	0.3246753246753247	0.43001635273454064	0.34029195165513537	0.4477170085310451
Aftph_4	mean_1_var_1	0.004195957936466895	0.11888111888111888	0.1967824016117105	0.12473958438676963	0.20858514635857614
Agrn_8	mean_1_var_1	0.029902150547495968	0.000999000999000999	0.0030413690444318314	0.0010331178900992765	0.0033504704168309325
Agtpbp1_11	mean_1_var_1	-0.004830547268030421	0.3146853146853147	0.4212756940029667	0.31764681866937616	0.42560310116368494
Aldh3a2_2	mean_1_var_1	0.01119469548648781	0.04895104895104895	0.09512676961357314	0.04679247267817525	0.09570312313190575
Angel2_1	mean_1_var_1	0.03367081377057967	0.000999000999000999	0.0030413690444318314	0.00038503587491308983	0.001395952363157788
Ankfy1_5	mean_1_var_1	-0.004087817758559306	0.2777222777222777	0.38076681938750906	0.2980484021850175	0.4050035704332295
Arfip2_nmdSE_1	mean_1_var_1	-0.014995282660198339	0.6233766233766234	0.7001540832049307	0.6134975919031422	0.6859579374035133
Arhgef40_7	mean_1_var_1	0.01147775219863411	0.04895104895104895	0.09512676961357314	0.04475173450870489	0.09228884668392669
Armc9_4	mean_1_var_1	-0.006951157463270381	0.36363636363636365	0.47279862060764616	0.376318545641056	0.48143397526580034
B4galt3_1	mean_1_var_1	0.0028085840720547214	0.12687312687312688	0.20439528057032108	0.14743213387299248	0.23790185238596515
Bclaf1_1	mean_1_var_1	0.02983935749712028	0.000999000999000999	0.0030413690444318314	0.0010495836596971586	0.003398326246706761
Btrc_1	mean_1_var_1	-0.006062634153943411	0.32967032967032966	0.4354715052389471	0.3512912850545056	0.45854699585578274
Cacna1e_2	mean_1_var_1	0.0013708623892819411	0.16083916083916083	0.24825174825174823	0.1737043727376823	0.2704183970262431
Camk2d_1	mean_1_var_1	0.025146389295793332	0.006993006993006993	0.01930846930846931	0.0032279254668224175	0.009577784817974576
Camta1_5	mean_1_var_1	0.032092248769972125	0.000999000999000999	0.0030413690444318314	0.000587495824596826	0.002041087626586471
Ccdc127_2	mean_1_var_1	0.013728007839125393	0.03596403596403597	0.07573782150053338	0.03095943722953785	0.06838595690257916
Ccdc136_17	mean_1_var_1	0.013522670200716768	0.03596403596403597	0.07573782150053338	0.03205111199149797	0.07025094888544427
Chtf8_3	mean_1_var_1	0.015630521014231166	0.016983016983016984	0.041426058603972714	0.02223486436633675	0.0511016304743092
Ciz1_2	mean_1_var_1	-0.001842984062215365	0.22477522477522477	0.3226376511575067	0.24244214116882906	0.34724421948388484
Clcn4_nmdSE_1	mean_1_var_1	0.006290855641201409	0.1008991008991009	0.17292018326501082	0.09529916105988606	0.167956322860863
Clip1_11	mean_1_var_1	0.0163945877545862	0.016983016983016984	0.041426058603972714	0.01936850803607047	0.045425414915675186
Cyb5r4_1	mean_1_var_1	-0.0022938730637862108	0.23476523476523475	0.33408252449054165	0.2531420266715777	0.3591895669028822
Dcaf11_1	mean_1_var_1	-0.05166297825204775	1.0	1.0	0.9988167073131301	0.9998225650244222
Dcun1d2_7	mean_1_var_1	-0.016549649226315584	0.6793206793206793	0.749023577642546	0.657291542983675	0.7251362860441432
Dhcr7_5	mean_1_var_1	0.011830392457979294	0.04895104895104895	0.09512676961357314	0.042310254561012846	0.08780040299299952
Dis3l2_7	mean_1_var_1	0.017885169717042893	0.016983016983016984	0.041426058603972714	0.0146725539925297	0.03574636928572186
Dlg4_3	mean_1_var_1	0.020942715504306594	0.00999000999000999	0.02627002627002627	0.008014608769246737	0.021401930472901756
Dnajc17_1	mean_1_var_1	0.0005810847335978798	0.17582417582417584	0.26621360360888163	0.18933095976687414	0.28642882416664683
Dnajc5_1	mean_1_var_1	-0.00897573244611456	0.4025974025974026	0.5084902391128566	0.4351627350817172	0.5319208910532248
Dram2_1	mean_1_var_1	-0.011560674231702216	0.4905094905094905	0.5821688759002192	0.5122545354656043	0.6018688040813365
Ece2_4	mean_1_var_1	-0.022035714953833215	0.8251748251748252	0.8679616679616681	0.7929623182810943	0.8371795479250216
Elovl6_2	mean_1_var_1	-0.016653003771260607	0.6853146853146853	0.7547953431609942	0.6601373101585646	0.7274683883565557
Epb41l4aos_1	mean_1_var_1	-0.027323202109964046	0.9020979020979021	0.9253718417805105	0.8875311297802779	0.9156263030634108
Epn2_5	mean_1_var_1	0.010121948202032953	0.060939060939060936	0.11238112536813834	0.055212404779831095	0.10921617980328778
Eri3_5	mean_1_var_1	-0.0269790302522685	0.8971028971028971	0.9216747077212194	0.8825196093512409	0.910928859496504
Exoc6b_6	mean_1_var_1	-0.00011155323390413865	0.1978021978021978	0.2925824175824176	0.20372465521060257	0.30292042973723105
Fam13b_8	mean_1_var_1	-0.020420395055089764	0.7982017982017982	0.8482707895414783	0.7566394558777463	0.8091442917078857
Fam160a2_2	mean_1_var_1	-0.009769879162006043	0.44455544455544455	0.5411979325022803	0.458721836559394	0.5520211931477453
Fam189b_2	mean_1_var_1	-0.0034359936646169626	0.2777222777222777	0.38076681938750906	0.2813171758687226	0.388104473023609
Fam189b_3	mean_1_var_1	0.009059757421066874	0.06893106893106893	0.12618320905613722	0.0646860576791935	0.12305826092462839
Fam49b_1	mean_1_var_1	0.00258919869989977	0.13286713286713286	0.21165052895822126	0.15125910551950988	0.24321303927560375
Fbxl5_7	mean_1_var_1	0.015587263500667446	0.016983016983016984	0.041426058603972714	0.02240732398564062	0.05132000009614465
Fbxo42_3	mean_1_var_1	0.0024980833715764423	0.13286713286713286	0.21165052895822126	0.15286777672662982	0.24527937056702187
