	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0279549572226141	0.4695304695304695	0.597201902384244	0.44036361519565803	
Aftph_4	mean_1_var_1	-0.011170103692279774	0.17182817182817184	0.2872955471778012	0.1829717310354304	
Agrn_8	mean_1_var_1	0.010798950339663224	0.03296703296703297	0.08317063647012886	0.029309104468208814	
Agtpbp1_11	mean_1_var_1	-0.02440059823905432	0.3706293706293706	0.5019149787542159	0.3783850212076417	
Aldh3a2_2	mean_1_var_1	0.010968459314618973	0.03296703296703297	0.08317063647012886	0.0288045270844395	
Angel2_1	mean_1_var_1	0.05364467981239731	0.000999000999000999	0.004044835002065144	6.785267064602007e-05	
Ankfy1_5	mean_1_var_1	-0.0027822051697223484	0.04695304695304695	0.10523411199848628	0.10011091645877518	
Arfip2_nmdSE_1	mean_1_var_1	-0.031574675475946085	0.5264735264735265	0.6468661128735296	0.5050131850033537	
Arhgef40_7	mean_1_var_1	-0.03020993681055793	0.5034965034965035	0.6295289616044334	0.4805618015877473	
Armc9_4	mean_1_var_1	-0.02958295230453197	0.4965034965034965	0.6227438176964991	0.4693473417831053	
B4galt3_1	mean_1_var_1	-0.012878743447189768	0.2217782217782218	0.34580008227067055	0.2040226908239393	
Bclaf1_1	mean_1_var_1	0.019808991106828745	0.011988011988011988	0.037296037296037296	0.010843167009374228	
Btrc_1	mean_1_var_1	-0.014386248220191756	0.2217782217782218	0.34580008227067055	0.22374255969058177	
Cacna1e_2	mean_1_var_1	-0.008429318157726871	0.12987012987012986	0.23621392331364882	0.15215696285797897	
Camk2d_1	mean_1_var_1	7.77226557615483e-05	0.04095904095904096	0.09557109557109558	0.0793583820621766	
Camta1_5	mean_1_var_1	0.04281273420677667	0.000999000999000999	0.004044835002065144	0.00043540399961074905	
Ccdc127_2	mean_1_var_1	0.0022985960122847175	0.04095904095904096	0.09557109557109558	0.0656274054114549	
Ccdc136_17	mean_1_var_1	-0.011794983276314041	0.19880119880119881	0.31975467897798	0.19050806527453323	
Chtf8_3	mean_1_var_1	0.010000637249030454	0.03296703296703297	0.08317063647012886	0.031785108176256315	
Ciz1_2	mean_1_var_1	0.00880480548290109	0.03696303696303696	0.0910564033240613	0.03581519763667445	
Clcn4_nmdSE_1	mean_1_var_1	-0.01682088381021539	0.25674325674325676	0.38347527753989064	0.257768706658895	
Clip1_11	mean_1_var_1	-0.001956496263578077	0.04695304695304695	0.10523411199848628	0.09374942313563317	
Cyb5r4_1	mean_1_var_1	-0.013745823414042445	0.2217782217782218	0.34580008227067055	0.2152357345591373	
Dcaf11_1	mean_1_var_1	-0.07599087284760335	0.971028971028971	0.9784113504336515	0.9776751895210887	
Dcun1d2_7	mean_1_var_1	-0.031153085081484146	0.5114885114885115	0.6331501624154177	0.4974574778491143	
Dhcr7_5	mean_1_var_1	0.00646224942361471	0.03696303696303696	0.0910564033240613	0.044921923484565626	
