	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Aasdhppt_2	mean_1_var_1	0.010385724117537595	0.03696303696303696	0.07022631250881951	0.02420250174691948	0.049110247038741006
Agtpbp1_11	mean_1_var_1	-0.0006189515784019754	0.15584415584415584	0.23256390927221202	0.1853875688947319	0.27270985673350706
Aldh3a2_2	mean_1_var_1	-0.006959839184874905	0.38461538461538464	0.4722816482187704	0.3922598394948579	0.4819599116842446
Alg9_4	mean_1_var_1	-0.007045521830676229	0.38461538461538464	0.4722816482187704	0.3954914145648382	0.4838813632416786
Angel2_1	mean_1_var_1	0.004457824769513565	0.07892107892107893	0.13106190620499697	0.08185651813267975	0.13865770502708302
Ankfy1_5	mean_1_var_1	-0.02169708913940404	0.8801198801198801	0.9073723231083636	0.8792484945205776	0.9041790847449586
Ankrd54_nmdSE_1	mean_1_var_1	-0.013471586377397262	0.6813186813186813	0.7395821709023206	0.6424083304861331	0.7044985524931622
Apbb2_2	mean_1_var_1	0.12599848791964993	0.000999000999000999	0.002594592108658605	1.0517039739036477e-40	7.655952584223327e-40
Arfip2_nmdSE_1	mean_1_var_1	0.006059332404169511	0.060939060939060936	0.10781117836866964	0.06060853563148155	0.10826379583776521
Arhgef40_7	mean_1_var_1	-0.009068209087936457	0.47052947052947053	0.5504869554408724	0.47338903447470126	0.5531951260173292
Armc9_4	mean_1_var_1	-0.004913196876063396	0.3436563436563437	0.43217711081488175	0.3177273361617379	0.4102379019354671
Atp11b_6	mean_1_var_1	0.006127202176139895	0.060939060939060936	0.10781117836866964	0.059813814475243726	0.10712685820037038
B4galt3_1	mean_1_var_1	0.007098565262535316	0.04895104895104895	0.08924558385958745	0.049312155779185615	0.09129716352554786
Bclaf1_1	mean_1_var_1	0.036167277156121655	0.000999000999000999	0.002594592108658605	3.3797301623223023e-06	1.1421351014436931e-05
Btrc_1	mean_1_var_1	-0.010757555340506767	0.6213786213786214	0.6926564105488365	0.5393716860520753	0.6134813513175406
Cacna1e_2	mean_1_var_1	0.007946583871058564	0.03696303696303696	0.07022631250881951	0.04139787001820173	0.07893392337252869
