	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0007236430837791268	0.33966033966033965	0.45318439949312433	0.3271393304985871	0.45132060307508065
Aftph_4	mean_1_var_1	0.00780659213955265	0.00999000999000999	0.029553779553779556	0.02149502279032491	0.05321557323432866
Agrn_8	mean_1_var_1	0.023822335322570887	0.000999000999000999	0.0034965034965034965	3.134313782180724e-07	1.5976963587116098e-06
Agtpbp1_11	mean_1_var_1	-0.0008075748876038649	0.34765234765234765	0.46198721065031223	0.33275458343784226	0.4562180081892624
Aldh3a2_2	mean_1_var_1	-0.009174219391521717	0.8661338661338661	0.9043456543456544	0.8672396470926866	0.9000619558527926
Angel2_1	mean_1_var_1	0.01297712716545326	0.000999000999000999	0.0034965034965034965	0.0014456004813489804	0.004773843450036168
Ankfy1_5	mean_1_var_1	-0.0041066810545613164	0.5874125874125874	0.6873315031054877	0.5703235138425208	0.6673355771153215
Arfip2_nmdSE_1	mean_1_var_1	0.009451183016749298	0.006993006993006993	0.021962239971718645	0.009965384527032748	0.027198851830274123
Arhgef40_7	mean_1_var_1	-0.005356349952101403	0.6613386613386614	0.7482875690047005	0.6583914499282416	0.7403179878152399
Armc9_4	mean_1_var_1	-0.002663235015168663	0.46053946053946054	0.5747347442262697	0.4643493884661309	0.5765937440791182
B4galt3_1	mean_1_var_1	0.006389190457947733	0.030969030969030968	0.07101088069946201	0.03903984632783836	0.0866469610619095
Bclaf1_1	mean_1_var_1	0.015663829548568313	0.000999000999000999	0.0034965034965034965	0.0002549991651956036	0.0009387747044608518
Btrc_1	mean_1_var_1	0.0014790817336333602	0.20279720279720279	0.30221951961082394	0.1963351956001002	0.3060017735707095
Cacna1e_2	mean_1_var_1	0.003940098754924299	0.07792207792207792	0.15217003036256474	0.09518875338296373	0.17785267079448489
Camk2d_1	mean_1_var_1	0.0028661408755617716	0.15584415584415584	0.25086492454913506	0.1332740630179431	0.22959171341392623
Camta1_5	mean_1_var_1	0.027487948787443237	0.000999000999000999	0.0034965034965034965	7.56942218007264e-09	4.361742404053452e-08
Ccdc127_2	mean_1_var_1	-0.0004194772268637661	0.3096903096903097	0.4228463843848459	0.30712313379251066	0.4308827028789775
Ccdc136_17	mean_1_var_1	0.03589846208046294	0.000999000999000999	0.0034965034965034965	2.7197011389010516e-13	1.9732722131880626e-12
Chtf8_3	mean_1_var_1	0.01306378259950477	0.000999000999000999	0.0034965034965034965	0.0013718432581595855	0.004560575915085712
Ciz1_2	mean_1_var_1	-0.003944714774534542	0.5874125874125874	0.6873315031054877	0.5585422113778257	0.656642173991199
Clcn4_nmdSE_1	mean_1_var_1	0.0019362657152956527	0.1978021978021978	0.2970020915640251	0.17380109512390707	0.2810218095018149
Clip1_11	mean_1_var_1	0.008894883939052375	0.00999000999000999	0.029553779553779556	0.013044946405774936	0.034440044428526655
Cyb5r4_1	mean_1_var_1	-0.00273046562713675	0.46053946053946054	0.5747347442262697	0.46928747236856866	0.579459351916423
Dcaf11_1	mean_1_var_1	-0.013043222355572816	0.962037962037962	0.9742901011367644	0.9662435579830506	0.9755673911987327
Dcun1d2_7	mean_1_var_1	-0.0025999369158068485	0.45554445554445555	0.5726235909201208	0.4597051473555775	0.5746174306032488
Dhcr7_5	mean_1_var_1	0.01206907000901286	0.000999000999000999	0.0034965034965034965	0.0024670168136320366	0.007834551797924104
Dis3l2_7	mean_1_var_1	0.0018653429719895443	0.1978021978021978	0.2970020915640251	0.17718472421782944	0.28406712237503623
Dlg4_3	mean_1_var_1	0.009520941806692614	0.006993006993006993	0.021962239971718645	0.009628022252500023	0.026473732002724817
Dnajc17_1	mean_1_var_1	-0.0070116052754717806	0.7502497502497503	0.8190535439299854	0.7623521766982383	0.824790561880669
Dnajc5_1	mean_1_var_1	-0.005047239547192691	0.6363636363636364	0.7291590254126277	0.6371938990920974	0.7246804756264815
Dram2_1	mean_1_var_1	0.014617000449329596	0.000999000999000999	0.0034965034965034965	0.0005152853268948172	0.0018247187276276455
Ece2_4	mean_1_var_1	0.014020016311205872	0.000999000999000999	0.0034965034965034965	0.0007576141595842531	0.0026277101381130858
Elovl6_2	mean_1_var_1	-0.005701159270617381	0.6653346653346653	0.7493967788585353	0.681458576493859	0.7606623526500795
Epb41l4aos_1	mean_1_var_1	-0.012144245727187605	0.958041958041958	0.9717282717282717	0.951759288203644	0.9663419126398592
Epn2_5	mean_1_var_1	0.009586583269249115	0.006993006993006993	0.021962239971718645	0.00931973073534769	0.025840480755747852
Eri3_5	mean_1_var_1	0.002444060413573626	0.17482517482517482	0.27152534965034963	0.15078635441779148	0.2512684598345092
Exoc6b_6	mean_1_var_1	0.005215902451647817	0.056943056943056944	0.11953832861963802	0.0611524744470058	0.1246883273852795
Fam13b_8	mean_1_var_1	-0.00677950690099511	0.7322677322677322	0.8033930749162537	0.748892465890034	0.8139957475064995
Fam160a2_2	mean_1_var_1	-0.006506775169629536	0.7062937062937062	0.7813644341190251	0.732575411357271	0.8015189420903989
Fam189b_2	mean_1_var_1	-0.00643287578128279	0.7062937062937062	0.7813644341190251	0.7280638188144423	0.7979001498363347
Fam189b_3	mean_1_var_1	-0.007211997029549337	0.7772227772227772	0.8411098971795761	0.7736472260470328	0.8317462804535938
Fam49b_1	mean_1_var_1	-0.0008237479282141949	0.3596403596403596	0.47317341824290865	0.3338409755590465	0.4562442893932544
Fbxl5_7	mean_1_var_1	0.03105946148155386	0.000999000999000999	0.0034965034965034965	1.3092759087598497e-10	8.369262079146563e-10
