	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0021515693562294755	0.5124875124875125	0.6269693383539536	0.4904644863577278	0.6099580651083578
Aftph_4	mean_1_var_1	0.0024070364634955657	0.1918081918081918	0.3048079019302041	0.1945230117359137	0.31491184636074626
Agrn_8	mean_1_var_1	0.02171167990284746	0.000999000999000999	0.003527555925424487	5.222920638321918e-06	2.4373629645502287e-05
Agtpbp1_11	mean_1_var_1	-0.0015014871817392943	0.46053946053946054	0.5824124984430328	0.44301540180236426	0.5693048602347125
Aldh3a2_2	mean_1_var_1	-0.008216129718761523	0.8811188811188811	0.9204752157983898	0.8621860299361932	0.9021188565858694
Angel2_1	mean_1_var_1	0.008099013251939135	0.022977022977022976	0.05826316540602255	0.02826026331866734	0.06801622697035191
Ankfy1_5	mean_1_var_1	0.0010577005576502228	0.2727272727272727	0.3954644917445792	0.26978371843998783	0.39947518199725024
Arfip2_nmdSE_1	mean_1_var_1	0.010083924674196013	0.015984015984015984	0.04276746134081262	0.011554097392482896	0.03120862176121739
Arhgef40_7	mean_1_var_1	-0.008213107678370883	0.8811188811188811	0.9204752157983898	0.862063742601102	0.9021188565858694
Armc9_4	mean_1_var_1	-0.0013987703686661119	0.4485514485514486	0.5741920667870443	0.43557490756991946	0.5640411983152493
B4galt3_1	mean_1_var_1	0.00690060578477307	0.04295704295704296	0.09748698789794681	0.04581653051707118	0.10131619874075362
Bclaf1_1	mean_1_var_1	0.01932494597448637	0.000999000999000999	0.003527555925424487	3.604588250039627e-05	0.00015410583744255438
Btrc_1	mean_1_var_1	0.0013123641877418816	0.2647352647352647	0.38641241284413086	0.25454653060427146	0.3819158512009749
Cacna1e_2	mean_1_var_1	0.0012449305486856386	0.2647352647352647	0.38641241284413086	0.25853692313835885	0.38702665903543476
Camk2d_1	mean_1_var_1	0.0037435445638763823	0.10789210789210789	0.19534563796858878	0.13417429033150452	0.2393054378263134
Camta1_5	mean_1_var_1	0.025786092259502447	0.000999000999000999	0.003527555925424487	1.2598728221410208e-07	6.843243635017347e-07
Ccdc127_2	mean_1_var_1	0.003256653149178085	0.13886113886113885	0.2357437609359044	0.15447479106566003	0.26588388280392394
Ccdc136_17	mean_1_var_1	0.02531038279327475	0.000999000999000999	0.003527555925424487	2.0012709591533504e-07	1.0501875963129186e-06
Chtf8_3	mean_1_var_1	0.014340976928092778	0.000999000999000999	0.003527555925424487	0.0011302341354581986	0.00395041930896839
Ciz1_2	mean_1_var_1	-0.0006831996722845929	0.4075924075924076	0.5358045648283115	0.38451154788104097	0.5130261457634292
Clcn4_nmdSE_1	mean_1_var_1	-0.0019156864730917433	0.47052947052947053	0.5905382496291587	0.47319634505223757	0.5966277523020694
Clip1_11	mean_1_var_1	0.008580572674563343	0.015984015984015984	0.04276746134081262	0.02299604207918204	0.056931670801262636
Cyb5r4_1	mean_1_var_1	-0.003389218796597275	0.6093906093906094	0.7134679219484873	0.5806121240577474	0.6837291744297183
Dcaf11_1	mean_1_var_1	-0.015477174454565278	0.985014985014985	0.9899978809069718	0.9923266589026222	0.9965350716336516
Dcun1d2_7	mean_1_var_1	0.002062653808420022	0.2137862137862138	0.3281907281907282	0.21241103370071962	0.33788737526579726
Dhcr7_5	mean_1_var_1	0.010299490352004677	0.015984015984015984	0.04276746134081262	0.010409748852559597	0.028465723134647153
Dis3l2_7	mean_1_var_1	0.0020102363676874724	0.22277722277722278	0.3383354613301137	0.21521558779559424	0.34091520999015246
Dlg4_3	mean_1_var_1	0.009553061934792407	0.015984015984015984	0.04276746134081262	0.014848125344904024	0.03903428903860212
Dnajc17_1	mean_1_var_1	-0.0045619008737020844	0.6883116883116883	0.7810294728102948	0.6623512718542524	0.748951493533107
Dnajc5_1	mean_1_var_1	-0.004313477959393425	0.6883116883116883	0.7810294728102948	0.645519507296078	0.7358330163443825
Dram2_1	mean_1_var_1	0.003990897658931139	0.08391608391608392	0.1625976362818468	0.12459605069166824	0.22662117911714225
Ece2_4	mean_1_var_1	0.013201080351074587	0.006993006993006993	0.02227900304823382	0.00222558069072553	0.00733740367025266
Elovl6_2	mean_1_var_1	-0.007416865360084199	0.8641358641358642	0.9103879692114987	0.8272525169721805	0.8785138908871234
Epb41l4aos_1	mean_1_var_1	-0.010037435152402449	0.9100899100899101	0.9408521795417272	0.9228894031275512	0.9462115180080308
Epn2_5	mean_1_var_1	0.01908778228090955	0.000999000999000999	0.003527555925424487	4.3237837339277023e-05	0.00018366842015060412
Eri3_5	mean_1_var_1	-0.0004051473479246297	0.3836163836163836	0.5121755343380595	0.3651475827210498	0.4953812346496589
Exoc6b_6	mean_1_var_1	0.004766087945348846	0.06893106893106893	0.14289360274761734	0.09770820794803253	0.18695275976967152
Fam13b_8	mean_1_var_1	-0.002884336629886279	0.5694305694305695	0.677050222504768	0.5440767118802836	0.6531548932475868
Fam160a2_2	mean_1_var_1	-0.0037323197910420556	0.6293706293706294	0.7291310088512886	0.6050688728157575	0.7031829028874761
Fam189b_2	mean_1_var_1	-0.002529075133950201	0.5484515484515484	0.662004662004662	0.5181240562732896	0.6323085474961939
Fam189b_3	mean_1_var_1	-0.00456678230405964	0.6883116883116883	0.7810294728102948	0.6626789120345751	0.748951493533107
Fam49b_1	mean_1_var_1	0.002783119993346413	0.15184815184815184	0.2524031152793694	0.1760722805243225	0.2924241384146643
Fbxl5_7	mean_1_var_1	0.020348644912950863	0.000999000999000999	0.003527555925424487	1.609911851194684e-05	7.08076274375007e-05
Fbxo42_3	mean_1_var_1	0.0004563480995700256	0.3166833166833167	0.44149118763424516	0.30748388334632704	0.4391766969039782
Flcn_1	mean_1_var_1	0.013748963613176896	0.006993006993006993	0.02227900304823382	0.0016151296692577862	0.005479313621987165
Fnbp4_6	mean_1_var_1	-0.0028441156202960727	0.5624375624375625	0.6731642830378533	0.5411458241155309	0.6519987262676821
Gfra2_1	mean_1_var_1	-0.007797537204023554	0.8701298701298701	0.9147637132830152	0.844540453050826	0.8911605205228461
Gfra2_3	mean_1_var_1	0.014512192158675495	0.000999000999000999	0.003527555925424487	0.0010172763643764105	0.0035793724112925733
Gpatch8_3	mean_1_var_1	-0.006061424871633994	0.7702297702297702	0.8439740578278238	0.7562719751976017	0.8251749103692823
Gria3_nmdSE_2	mean_1_var_1	0.013452217888108327	0.006993006993006993	0.02227900304823382	0.001923651400907573	0.006459829366561242
Gtf2i_10	mean_1_var_1	0.00028594181938459653	0.34665334665334663	0.47429239721049765	0.31857392052969635	0.45108614958193477
Ints10_3	mean_1_var_1	0.025529646798228816	0.000999000999000999	0.003527555925424487	1.6183395308341875e-07	8.625359215277117e-07
Isy1_3	mean_1_var_1	0.004008086631036355	0.08391608391608392	0.1625976362818468	0.12394867070138471	0.2257379798936478
Isyna1_3	mean_1_var_1	0.0031426296919154573	0.13886113886113885	0.2357437609359044	0.15950805835873766	0.27219057512203476
Josd2_9	mean_1_var_1	0.004156632771649457	0.08391608391608392	0.1625976362818468	0.11845204123563419	0.2178377964629424
Josd2_nmdSE_4	mean_1_var_1	0.003544679038786997	0.11488511488511488	0.20265448836877406	0.1422329769931575	0.24944791740561384
Kcna6_1	mean_1_var_1	0.009220610005732197	0.015984015984015984	0.04276746134081262	0.017298466105587947	0.044373355636011406
Kctd20_3	mean_1_var_1	0.007608870668351242	0.022977022977022976	0.05826316540602255	0.034611756344744136	0.0801960042113652
Klhl26_2	mean_1_var_1	-0.000492428408241853	0.3836163836163836	0.5121755343380595	0.3711916638189485	0.5003504858788305
Lmbr1_11	mean_1_var_1	-0.0011797605747972707	0.43156843156843155	0.5611236376442393	0.4197896545657177	0.5486797062962832
Lrrc45_5	mean_1_var_1	-0.0038159255725904854	0.6333666333666333	0.7320539925191087	0.6109701189857123	0.7082265869058869
Lsm5_3	mean_1_var_1	0.015157690058506958	0.000999000999000999	0.003527555925424487	0.0006783132598280956	0.002465240878497722
Lztfl1_3	mean_1_var_1	0.012854356005881844	0.006993006993006993	0.02227900304823382	0.002713038364188024	0.00876995165529397
Lztfl1_5	mean_1_var_1	0.011643653247818254	0.00999000999000999	0.029249101414049867	0.005261186046313842	0.0158954982675865
Map7d2_4	mean_1_var_1	-0.005322975265727925	0.7192807192807192	0.8078700960056892	0.7118177356608879	0.7906728144256493
Mapk8ip3_4	mean_1_var_1	0.0023331562050553636	0.2037962037962038	0.3210355413208028	0.19828124608651404	0.3204740790406422
Mast2_6	mean_1_var_1	0.014598517544191933	0.000999000999000999	0.003527555925424487	0.0009643411183863842	0.00341730863342626
Mia3_4	mean_1_var_1	-0.0004772991376261338	0.3836163836163836	0.5121755343380595	0.37014165760631623	0.5000858966341332
Miat_5	mean_1_var_1	0.001847638948941008	0.23576423576423577	0.3521407217876038	0.2240507623977458	0.35071883121788866
Mllt10_22	mean_1_var_1	0.00329177676061021	0.12887112887112886	0.22258540764188026	0.152945736206554	0.26370869347669496
Mroh1_10	mean_1_var_1	0.004339545485441535	0.08391608391608392	0.1625976362818468	0.11192339267293788	0.20736598754315053
Mtmr7_6	mean_1_var_1	0.004991953999780955	0.06493506493506493	0.13645973476840284	0.09073963035656196	0.1761624854969191
Nadk_4	mean_1_var_1	0.0042546924372687716	0.08391608391608392	0.1625976362818468	0.11491931071414674	0.21252054855788255
Ncoa5_3	mean_1_var_1	0.006519942160876105	0.04295704295704296	0.09748698789794681	0.052948290888225544	0.11503956533966381
Nf2_4	mean_1_var_1	-0.001850203399831283	0.47052947052947053	0.5905382496291587	0.46841009609869844	0.5931205548052308
Nfasc_6	mean_1_var_1	0.0017366273607479453	0.23576423576423577	0.3521407217876038	0.2301993942993784	0.35808794668792193
Nrxn1_3	mean_1_var_1	0.0028303009708799867	0.15184815184815184	0.2524031152793694	0.17383840952432011	0.2901685626652799
Odf2_1	mean_1_var_1	0.0008530644551244089	0.2867132867132867	0.4077153175865622	0.2823500712394579	0.4121233051571529
Odf2_12	mean_1_var_1	-0.0021525372537166236	0.5124875124875125	0.6269693383539536	0.49053540170373655	0.6099580651083578
Oraov1_1	mean_1_var_1	0.0008923433330143014	0.2867132867132867	0.4077153175865622	0.27991632938588007	0.409460858521745
Pccb_4	mean_1_var_1	0.0036674989707592117	0.11488511488511488	0.20265448836877406	0.1372180746982598	0.24269531361222463
Pdp1_1	mean_1_var_1	0.010986245627874853	0.00999000999000999	0.029249101414049867	0.0073965884975383195	0.02115743587497292
Phf20_1	mean_1_var_1	-0.0005154852854603252	0.3836163836163836	0.5121755343380595	0.37279370748702223	0.5015265403026498
Ppfia2_5	mean_1_var_1	-0.0019752253173795993	0.4985014985014985	0.6151588944885035	0.47755150162558657	0.5991483968369874
Pphln1_6	mean_1_var_1	0.0082337544042552	0.015984015984015984	0.04276746134081262	0.026694983587883313	0.06464022822498419
Ppip5k2_1	mean_1_var_1	-0.005492728609495138	0.7282717282717283	0.8138303517730162	0.7223669993361782	0.800036542997394
Ppp1r16a_5	mean_1_var_1	-0.003980166988643919	0.6653346653346653	0.7601639739570775	0.6224875546003275	0.7178104747943451
Preb_7	mean_1_var_1	-0.001147628765025667	0.43156843156843155	0.5611236376442393	0.4174839223822969	0.5460250248000041
Prr14l_5	mean_1_var_1	0.004439685705143724	0.08391608391608392	0.1625976362818468	0.10846008887549585	0.20245883256759226
Ptk2_7	mean_1_var_1	-0.001229110856809019	0.43156843156843155	0.5611236376442393	0.42333630109051085	0.5511411699855505
Rbm18_1	mean_1_var_1	-0.0022924761668869304	0.5254745254745254	0.6397081179689875	0.5007903834915608	0.6162777467808138
Rbm25_4	mean_1_var_1	0.0018887070534174442	0.22977022977022976	0.34631024775073294	0.22179997158068626	0.3480176349663806
Rbm33_2	mean_1_var_1	0.008947723025511506	0.015984015984015984	0.04276746134081262	0.01956041083488343	0.049536428967832176
Rbm39_nmdSE_9	mean_1_var_1	0.043367131186653175	0.000999000999000999	0.003527555925424487	2.515360892556709e-17	2.232382792144079e-16
Rbms3_1	mean_1_var_1	-0.009162665325853343	0.8951048951048951	0.9272894900826115	0.896898977241085	0.9262520346780659
Rcbtb2_8	mean_1_var_1	-0.000830945894264289	0.4075924075924076	0.5358045648283115	0.39492282017732205	0.5234043776750109
Rexo4_1	mean_1_var_1	-0.0019816271214460517	0.4985014985014985	0.6151588944885035	0.47801995071164155	0.5991826368314902
Rgs19_1	mean_1_var_1	0.0006294817879511114	0.30569430569430567	0.4297880337484297	0.29639381451769614	0.4276820051494132
Rnps1_3	mean_1_var_1	0.021485322402563827	0.000999000999000999	0.003527555925424487	6.322803759490572e-06	2.923193924155176e-05
Rpl17_1	mean_1_var_1	0.000507485252389605	0.3166833166833167	0.44149118763424516	0.30418930835195085	0.43662696390157274
Rps6kc1_6	mean_1_var_1	-0.0020664086938769178	0.5124875124875125	0.6269693383539536	0.4842264190603175	0.6042951168185255
Rrnad1_3	mean_1_var_1	-0.01036892767654854	0.919080919080919	0.9457209457209457	0.9313175670932219	0.9528869394654272
Rundc3b_1	mean_1_var_1	0.018984813155599297	0.000999000999000999	0.003527555925424487	4.676517313602391e-05	0.0001969685682085075
Scg3_1	mean_1_var_1	0.00797564123217399	0.022977022977022976	0.05826316540602255	0.029759753001816703	0.07051536229751085
Scmh1_7	mean_1_var_1	-0.0016925554110342632	0.47052947052947053	0.5905382496291587	0.456907417253514	0.581146478246952
