	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0034657969221798504	0.5754245754245755	0.6764896841774429	0.5555918977453561	0.6605961080847895
Aftph_4	mean_1_var_1	0.01906106343291781	0.000999000999000999	0.0035150690017946656	4.3128687592798634e-05	0.00016713417336156663
Agrn_8	mean_1_var_1	0.020914511356519058	0.000999000999000999	0.0035150690017946656	1.0181937416902242e-05	4.261408754695085e-05
Agtpbp1_11	mean_1_var_1	0.0033482169504128446	0.12287712287712288	0.21334473386875133	0.13782732605022902	0.2405042900030129
Aldh3a2_2	mean_1_var_1	-0.006208096872165571	0.7192807192807192	0.7979520479520479	0.7372172011856858	0.8074175063404702
Angel2_1	mean_1_var_1	0.015690474136835716	0.000999000999000999	0.0035150690017946656	0.000453451751798657	0.0015304958957143126
Ankfy1_5	mean_1_var_1	7.272835188178813e-06	0.3086913086913087	0.4285463140211743	0.3130974018048547	0.4455530671353265
Arfip2_nmdSE_1	mean_1_var_1	0.008791024479250453	0.022977022977022976	0.05695551331461556	0.019106436663120435	0.04637801719936926
Arhgef40_7	mean_1_var_1	-0.003676503189007804	0.5944055944055944	0.6942880855924334	0.5705736978874782	0.6713650622397627
Armc9_4	mean_1_var_1	-0.002869580493250886	0.5104895104895105	0.6203258843845642	0.5128376354482332	0.6270013291325655
B4galt3_1	mean_1_var_1	0.006882822362392188	0.05194805194805195	0.10939907550077042	0.041982283852514186	0.09121396753967016
Bclaf1_1	mean_1_var_1	0.015026794111544022	0.000999000999000999	0.0035150690017946656	0.000691620254076729	0.0022614162255008836
Btrc_1	mean_1_var_1	0.0021983479837454304	0.17182817182817184	0.27415281347865617	0.18873148288356678	0.3045439837439373
Cacna1e_2	mean_1_var_1	0.0036922956726279602	0.11788211788211789	0.20849613020431526	0.12461137915271453	0.22158087813559615
Camk2d_1	mean_1_var_1	0.003976521915510328	0.11788211788211789	0.20849613020431526	0.11438325561848822	0.207855495584602
