	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0023178987756175386	0.5444555444555444	0.6652597556100937	0.5229933147183721	0.6488421133221571
Aftph_4	mean_1_var_1	0.011042270084187088	0.030969030969030968	0.07373225576818392	0.009186455736137194	0.024382742327691245
Agrn_8	mean_1_var_1	0.018873448648938976	0.000999000999000999	0.0034781330753309737	8.032875269680501e-05	0.00031435740228592194
Agtpbp1_11	mean_1_var_1	0.0012259437859359207	0.2727272727272727	0.3931702814951546	0.2799120374680586	0.4128079603015582
Aldh3a2_2	mean_1_var_1	-0.0070482953242255115	0.8031968031968032	0.8649811726734803	0.8193739224127956	0.8729449934387126
Angel2_1	mean_1_var_1	0.008486123054404377	0.03696303696303696	0.08584406247957649	0.02899107482882415	0.066170214419865
Ankfy1_5	mean_1_var_1	-0.0011525554225240123	0.45754245754245754	0.5872139480919338	0.43918304161536725	0.5756963381960772
Arfip2_nmdSE_1	mean_1_var_1	0.009160080906931656	0.030969030969030968	0.07373225576818392	0.021811634924882237	0.05230582657498901
Arhgef40_7	mean_1_var_1	-0.005170959088843506	0.7292707292707292	0.8128646269743695	0.7168591380342799	0.7974907478523495
Armc9_4	mean_1_var_1	-0.0025791410222661096	0.5574425574425574	0.67449531600475	0.541773794193375	0.6644809393996267
B4galt3_1	mean_1_var_1	0.0060627903358619764	0.061938061938061936	0.12853117654787802	0.07246653580631107	0.14581323196654494
Bclaf1_1	mean_1_var_1	0.01858941594699769	0.000999000999000999	0.0034781330753309737	9.857803160088934e-05	0.00037905827238407736
Btrc_1	mean_1_var_1	0.0024052594246230636	0.18681318681318682	0.29854068760821173	0.2129179012178244	0.33889574669418326
Cacna1e_2	mean_1_var_1	0.002833350843835101	0.16483516483516483	0.2714932126696833	0.19112942143710682	0.3105943104583098
Camk2d_1	mean_1_var_1	0.0018744274904018614	0.21078921078921078	0.32636211140884036	0.24185228721615082	0.3735808585849647
Camta1_5	mean_1_var_1	0.02415271191763464	0.000999000999000999	0.0034781330753309737	1.1306698259884605e-06	5.2518028366006065e-06
Ccdc127_2	mean_1_var_1	0.002091252595297862	0.2057942057942058	0.32214085127470954	0.22978310091561122	0.35912641872659995
Ccdc136_17	mean_1_var_1	0.023478662092838762	0.000999000999000999	0.0034781330753309737	2.0458530446790897e-06	9.285743956214682e-06
Chtf8_3	mean_1_var_1	0.012779528114654467	0.000999000999000999	0.0034781330753309737	0.003768533016232565	0.011066238753722805
Ciz1_2	mean_1_var_1	-0.0008030738310290147	0.4255744255744256	0.5547816118307922	0.41440368660982313	0.550323666653526
Clcn4_nmdSE_1	mean_1_var_1	-0.0014990721458882279	0.4915084915084915	0.617257663372635	0.4639901130686214	0.5967146831441935
Clip1_11	mean_1_var_1	0.011223949367145384	0.01898101898101898	0.05037952701504103	0.008404351297263597	0.0226700819253189
Cyb5r4_1	mean_1_var_1	-0.005739506015581912	0.7512487512487512	0.8297125097125096	0.7505864755121463	0.8216772650430324
Dcaf11_1	mean_1_var_1	-0.01487731154122902	0.994005994005994	0.9980221798403617	0.9900589252836265	0.9955675991218257
Dcun1d2_7	mean_1_var_1	0.0015248493880355043	0.25574425574425574	0.3746643923504646	0.26201400840619615	0.3951432828873413
Dhcr7_5	mean_1_var_1	0.007743947885229815	0.04495504495504495	0.10052939186797454	0.03906520363991952	0.08581395009520443
Dis3l2_7	mean_1_var_1	0.0005040954644085853	0.3226773226773227	0.452385414303609	0.3254242512348582	0.4624327458576827
Dlg4_3	mean_1_var_1	0.030497456499905068	0.000999000999000999	0.0034781330753309737	2.1046198842608007e-09	1.1752764971658629e-08
Dnajc17_1	mean_1_var_1	-0.005901267145812557	0.7722277722277723	0.8449030331253777	0.7597768317142329	0.8276363514782986
Dnajc5_1	mean_1_var_1	-0.004243591020927005	0.6973026973026973	0.7894433788811983	0.6575760032559356	0.7525622740115442
Dram2_1	mean_1_var_1	0.012811407480398636	0.000999000999000999	0.0034781330753309737	0.0037042924748804593	0.010907915863990552
Ece2_4	mean_1_var_1	0.018369183887168062	0.000999000999000999	0.0034781330753309737	0.00011533753232371042	0.00044094425819141597
Elovl6_2	mean_1_var_1	-0.007723763483984992	0.8401598401598401	0.8912688165623064	0.8496923261753804	0.8950740398873488
Epb41l4aos_1	mean_1_var_1	-0.007239464432360382	0.8141858141858141	0.873290326465784	0.8283200566927513	0.8793867001092031
Epn2_5	mean_1_var_1	0.017684928233180193	0.000999000999000999	0.0034781330753309737	0.0001860707372091558	0.0006901280327832122
Eri3_5	mean_1_var_1	0.001823820009640515	0.21078921078921078	0.32636211140884036	0.2447179727010595	0.376547468831042
Exoc6b_6	mean_1_var_1	0.0025751793026922015	0.16983016983016982	0.27696667565412436	0.20410116734438116	0.32669333388134436
