	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Aasdhppt_2	mean_1_var_1	0.004510462674816097	0.03696303696303696	0.07022631250881951	0.024202501746919423	0.04911024703874097
Agtpbp1_11	mean_1_var_1	-0.0002688072550652898	0.15584415584415584	0.23256390927221202	0.18538756889473207	0.2727098567335069
Aldh3a2_2	mean_1_var_1	-0.003022619752925204	0.38461538461538464	0.4722816482187704	0.3922598394948583	0.4819599116842452
Alg9_4	mean_1_var_1	-0.003059831253191584	0.38461538461538464	0.4722816482187704	0.3954914145648381	0.48388136324167846
Angel2_1	mean_1_var_1	0.0019360086986913772	0.07892107892107893	0.13106190620499697	0.08185651813267963	0.13865770502708286
Ankfy1_5	mean_1_var_1	-0.009422926086606154	0.8801198801198801	0.9073723231083636	0.8792484945205776	0.9041790847449586
Ankrd54_nmdSE_1	mean_1_var_1	-0.005850635626186652	0.6813186813186813	0.7395821709023206	0.6424083304861332	0.7044985524931623
Apbb2_2	mean_1_var_1	0.054720448031657494	0.000999000999000999	0.002594592108658605	1.0517039739036477e-40	7.655952584223327e-40
Arfip2_nmdSE_1	mean_1_var_1	0.0026315346271483862	0.060939060939060936	0.10781117836866964	0.06060853563148139	0.10826379583776492
Arhgef40_7	mean_1_var_1	-0.003938273167635727	0.47052947052947053	0.5504869554408724	0.47338903447470143	0.5531951260173295
Armc9_4	mean_1_var_1	-0.002133774291778629	0.3436563436563437	0.43217711081488175	0.31772733616173787	0.41023790193546705
Atp11b_6	mean_1_var_1	0.0026610100946031553	0.060939060939060936	0.10781117836866964	0.05981381447524356	0.10712685820037009
B4galt3_1	mean_1_var_1	0.003082867722949195	0.04895104895104895	0.08924558385958745	0.049312155779185615	0.09129716352554786
Bclaf1_1	mean_1_var_1	0.015707248894369166	0.000999000999000999	0.002594592108658605	3.379730162322295e-06	1.1421351014436907e-05
Btrc_1	mean_1_var_1	-0.004671946923150948	0.6213786213786214	0.6926564105488365	0.5393716860520754	0.6134813513175402
Cacna1e_2	mean_1_var_1	0.0034511575251821094	0.03696303696303696	0.07022631250881951	0.04139787001820178	0.0789339233725288
Camta1_5	mean_1_var_1	0.01874222878005746	0.000999000999000999	0.002594592108658605	1.0732640330801866e-07	3.963271365792471e-07
Ccdc127_2	mean_1_var_1	-0.004122107648375335	0.48951048951048953	0.5681118881118882	0.4899244420504232	0.5694507480341041
Cers6_2	mean_1_var_1	0.02833049073328995	0.000999000999000999	0.002594592108658605	9.878228435381665e-14	4.811194712772221e-13
Chl1_6	mean_1_var_1	-0.007257514427780897	0.7582417582417582	0.8062769691041942	0.7525269586841539	0.7956180390877233
Chtf8_3	mean_1_var_1	0.006886415599198481	0.000999000999000999	0.002594592108658605	0.006034955874959168	0.014428814867724883
Clcn4_nmdSE_1	mean_1_var_1	-0.004973804099163534	0.6273726273726273	0.6989543643410895	0.5663094290170039	0.6386310107348888
Cstf2_2	mean_1_var_1	0.022993453690172073	0.000999000999000999	0.002594592108658605	3.9790281104012994e-10	1.701348650994745e-09
Cyb5r4_1	mean_1_var_1	-0.001913751121381267	0.33466533466533466	0.42375641814544557	0.30023425322695924	0.3926437658106595
Dcun1d2_7	mean_1_var_1	-0.00024242686034650412	0.15584415584415584	0.23256390927221202	0.18380029627050753	0.2708986950111762
Dnajc5_1	mean_1_var_1	-0.0028932523428283115	0.3756243756243756	0.46348305400553275	0.3810841581937502	0.4716564673809594
Ehmt2_8	mean_1_var_1	0.004493848316260297	0.03696303696303696	0.07022631250881951	0.02441658978530602	0.049392523758920844
Elovl6_2	mean_1_var_1	0.0016376472746506491	0.07892107892107893	0.13106190620499697	0.09252824233395046	0.15403677063955196
Epb41l4aos_1	mean_1_var_1	-0.013803967498865212	0.983016983016983	0.987392429528928	0.9846184475981343	0.9919444777141918
Epn2_5	mean_1_var_1	0.006938822619527849	0.000999000999000999	0.002594592108658605	0.005835762534787146	0.014009968922166306
Eri3_5	mean_1_var_1	-0.0025429380313359696	0.35364635364635366	0.4414601992967082	0.35133923818743285	0.44293606006125147
Exoc6b_6	mean_1_var_1	0.0028159313576932633	0.053946053946053944	0.09756405660234689	0.055770231487358574	0.10113333942037969
