	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.015300523002208357	0.6043956043956044	0.7147760032947421	0.5504148713035272	
Aftph_4	mean_1_var_1	-0.020346882443322684	0.7712287712287712	0.8373581634095014	0.7300856218378939	
Agrn_8	mean_1_var_1	0.00025111139243509705	0.07092907092907093	0.15790256775699105	0.08501004943379492	
Agtpbp1_11	mean_1_var_1	-0.027485194693043863	0.903096903096903	0.9322946483568245	0.9033800780184056	
Aldh3a2_2	mean_1_var_1	-0.008277198372935113	0.25074925074925075	0.3739606230228886	0.29109437842577224	
Angel2_1	mean_1_var_1	0.009057371746844428	0.017982017982017984	0.054997310381925776	0.01317966102421469	
Ankfy1_5	mean_1_var_1	-0.011358448303530527	0.3826173826173826	0.5101565101565101	0.40004791456170624	
Arfip2_nmdSE_1	mean_1_var_1	0.0002825048718062652	0.07092907092907093	0.15790256775699105	0.08454016399631636	
Arhgef40_7	mean_1_var_1	-0.01783935477063178	0.6973026973026973	0.7827429487508539	0.6448299276091825	
Armc9_4	mean_1_var_1	-0.014403195627632584	0.5644355644355644	0.6850414542722235	0.5160436036606255	
B4galt3_1	mean_1_var_1	-0.005195405278022576	0.18081918081918083	0.3051515547271065	0.19843899727080289	
Bclaf1_1	mean_1_var_1	0.009328410908010808	0.017982017982017984	0.054997310381925776	0.012320044759034046	
Btrc_1	mean_1_var_1	0.0014568679182657372	0.058941058941058944	0.13704657915184232	0.0683294827085832	
Cacna1e_2	mean_1_var_1	-0.022795340852094514	0.8191808191808192	0.8788620985059193	0.8020737094973595	
Camk2d_1	mean_1_var_1	-0.01038166634326251	0.3256743256743257	0.45117809020248045	0.3641588559931891	
Camta1_5	mean_1_var_1	0.02324937073633735	0.000999000999000999	0.004261832588012845	0.0001661748765061322	
Ccdc127_2	mean_1_var_1	0.008200247088020753	0.017982017982017984	0.054997310381925776	0.016247503992645667	
Ccdc136_17	mean_1_var_1	0.0029714657953166467	0.03196803196803197	0.08682028354159502	0.05109542990164903	
Chtf8_3	mean_1_var_1	-0.008629603668750391	0.2707292707292707	0.393140825573258	0.30284827839923	
Ciz1_2	mean_1_var_1	-0.005770019669654878	0.1848151848151848	0.3095304022010003	0.21423005711491572	
Clcn4_nmdSE_1	mean_1_var_1	-0.007694306200952332	0.24375624375624375	0.36906885954867674	0.27213489824007386	
Clip1_11	mean_1_var_1	0.002557322288768186	0.03896103896103896	0.09892023685127133	0.055422205344119256	
Cyb5r4_1	mean_1_var_1	-0.014822343338355012	0.5824175824175825	0.6958210059171598	0.5321291826911644	
Dcaf11_1	mean_1_var_1	-0.015689443415783898	0.6153846153846154	0.7221869040050859	0.5652105099774073	
Dcun1d2_7	mean_1_var_1	-0.00920018326198824	0.28771228771228774	0.4085514485514486	0.3223152894728018	
Dhcr7_5	mean_1_var_1	-0.0033967130009207418	0.15084915084915085	0.2772030540625582	0.15373003622438708	
Dis3l2_7	mean_1_var_1	-0.0074316121579389854	0.24375624375624375	0.36906885954867674	0.26379568565518097	
Dlg4_3	mean_1_var_1	0.00787147262338599	0.017982017982017984	0.054997310381925776	0.017576958846819805	
Dnajc17_1	mean_1_var_1	-0.0077261519680262465	0.24375624375624375	0.36906885954867674	0.27315467632953755	
Dnajc5_1	mean_1_var_1	-0.01584760718571987	0.6243756243756243	0.7297229519451741	0.5712026851977284	
Dram2_1	mean_1_var_1	-0.009270411411147154	0.28771228771228774	0.4085514485514486	0.3247468360394009	
Ece2_4	mean_1_var_1	-0.01677543515411491	0.6583416583416584	0.7521742625190901	0.6059812678192461	
Elovl6_2	mean_1_var_1	-0.012402184111747186	0.4595404595404595	0.5878805878805878	0.4393454211217035	
Epb41l4aos_1	mean_1_var_1	-0.0274153471223782	0.903096903096903	0.9322946483568245	0.9022229836400256	
Epn2_5	mean_1_var_1	-0.00017320477354012097	0.07892107892107893	0.17222294719550485	0.09155434896390857	
Eri3_5	mean_1_var_1	-0.006601019692732607	0.2177822177822178	0.3433394519833854	0.23831331853284776	
Exoc6b_6	mean_1_var_1	-0.01630763460733212	0.6473526473526473	0.7430352557373342	0.5885333634961984	
Fam13b_8	mean_1_var_1	-0.02012813708918799	0.7592407592407593	0.8270523996551394	0.7230712025805703	
Fam160a2_2	mean_1_var_1	-0.014949104177074188	0.5824175824175825	0.6958210059171598	0.5369847593508364	
Fam189b_2	mean_1_var_1	-0.023397902936445135	0.8311688311688312	0.8859858640019499	0.8178298743379309	
Fam189b_3	mean_1_var_1	-0.007721828671809914	0.24375624375624375	0.36906885954867674	0.27301612296871086	
Fam49b_1	mean_1_var_1	-0.010242239814176109	0.3256743256743257	0.45117809020248045	0.35912373843757217	
Fbxl5_7	mean_1_var_1	0.017229123733717936	0.000999000999000999	0.004261832588012845	0.0013128736669785499	
Fbxo42_3	mean_1_var_1	0.0005559313685862582	0.07092907092907093	0.15790256775699105	0.08052969912706254	
Flcn_1	mean_1_var_1	0.014571634749712696	0.000999000999000999	0.004261832588012845	0.0029585981012448075	
Fnbp4_6	mean_1_var_1	-0.011846523058286734	0.4195804195804196	0.5484062288796017	0.4183239852684646	
Gfra2_1	mean_1_var_1	-0.03367556526686893	0.971028971028971	0.9789075022340743	0.9711305619995205	
Gfra2_3	mean_1_var_1	-0.004931899518995365	0.17482517482517482	0.3003910523357369	0.19143878743493342	
Gpatch8_3	mean_1_var_1	-0.019202745175636787	0.7332667332667333	0.8080566883227638	0.6924480164944363	
Gria3_nmdSE_2	mean_1_var_1	0.017518811098788806	0.000999000999000999	0.004261832588012845	0.0011971851117563515	
Gtf2i_10	mean_1_var_1	-0.0056252952200332475	0.18081918081918083	0.3051515547271065	0.21018547557408052	
Ints10_3	mean_1_var_1	0.018844047011222494	0.000999000999000999	0.004261832588012845	0.0007778027834708164	
Isy1_3	mean_1_var_1	-0.007824844798359737	0.24375624375624375	0.36906885954867674	0.27632703597526465	
Isyna1_3	mean_1_var_1	-0.0024077023455547682	0.13186813186813187	0.25451829723674385	0.1322355126884589	
Josd2_9	mean_1_var_1	-0.009483835444572207	0.2937062937062937	0.41587472356703126	0.3321819324326656	
Josd2_nmdSE_4	mean_1_var_1	-0.004995738627622142	0.17482517482517482	0.3003910523357369	0.1931206760450347	
Kcna6_1	mean_1_var_1	-0.024702833129115958	0.8461538461538461	0.8961927789844678	0.8491731372629857	
Kctd20_3	mean_1_var_1	-0.0028391944104172212	0.13886113886113885	0.2646749223930432	0.1413443296526054	
Klhl26_2	mean_1_var_1	-0.008900021773730296	0.2777222777222777	0.3977751355272969	0.312009126678488	
Lmbr1_11	mean_1_var_1	-0.00398107430795935	0.15584415584415584	0.2781132691366085	0.1674613057740702	
Lrrc45_5	mean_1_var_1	-0.016147908333780693	0.6473526473526473	0.7430352557373342	0.5825337163732447	
Lsm5_3	mean_1_var_1	0.006093003991339939	0.023976023976023976	0.068483240897034	0.02648446202494671	
Lztfl1_3	mean_1_var_1	-0.005993851749412118	0.1888111888111888	0.31410597770430404	0.2205737905408302	
Lztfl1_5	mean_1_var_1	-0.0027929637364246195	0.13886113886113885	0.2646749223930432	0.14034853912167738	
Map7d2_4	mean_1_var_1	-0.03394328732107567	0.971028971028971	0.9789075022340743	0.972789975845648	
Mapk8ip3_4	mean_1_var_1	-0.0051376392477815065	0.17482517482517482	0.3003910523357369	0.19689132996647313	
Mast2_6	mean_1_var_1	-0.0022401873532750865	0.13186813186813187	0.25451829723674385	0.12881076522733687	
Mia3_4	mean_1_var_1	-0.007320074203448908	0.23676323676323677	0.36290309536261733	0.2602947469235651	
Miat_5	mean_1_var_1	-0.027048466097177874	0.903096903096903	0.9322946483568245	0.8959781460056592	
