	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Aasdhppt_2	mean_1_var_1	0.0009570289313327049	0.054945054945054944	0.11238006706284652	0.08125588961230479	
Agtpbp1_11	mean_1_var_1	-0.017517405805712538	0.7972027972027972	0.8503775636128578	0.7138445138301927	
Aldh3a2_2	mean_1_var_1	-0.004862827572563582	0.1848151848151848	0.2837185490246714	0.21804502633574785	
Alg9_4	mean_1_var_1	-0.0014141227016534724	0.07692307692307693	0.14683342972816657	0.1261166083542163	
Angel2_1	mean_1_var_1	-0.0037527721107363326	0.11888111888111888	0.19872226538893206	0.18494993821871591	
Ankfy1_5	mean_1_var_1	-0.012556180739721493	0.6173826173826173	0.7028610403049865	0.5151348220601579	
Ankrd54_nmdSE_1	mean_1_var_1	-0.016066113102408568	0.7502497502497503	0.8105091716793844	0.6593082184661759	
Apbb2_2	mean_1_var_1	0.04813301902157198	0.000999000999000999	0.002997002997002997	7.514636503477711e-11	
Arfip2_nmdSE_1	mean_1_var_1	-0.004209515804150154	0.12687312687312688	0.2094953826661144	0.19817135362315508	
Arhgef40_7	mean_1_var_1	-0.009614359759476483	0.4025974025974026	0.5069282856015652	0.3919002307312973	
Armc9_4	mean_1_var_1	-0.009644068174491434	0.41058941058941056	0.5134895892285054	0.39311252632903865	
Atp11b_6	mean_1_var_1	-0.012149437186939196	0.6013986013986014	0.6900794121133104	0.49791148585004535	
B4galt3_1	mean_1_var_1	-0.010770830581668387	0.4915084915084915	0.5963284027800156	0.4397536188404735	
Bclaf1_1	mean_1_var_1	0.017012836579300514	0.000999000999000999	0.002997002997002997	0.0009636040516517855	
Btrc_1	mean_1_var_1	-0.0007619711659065349	0.07192807192807193	0.13860143651415002	0.11234004971723366	
Cacna1e_2	mean_1_var_1	-0.010626669857311496	0.4775224775224775	0.5821417478080143	0.43372490696150084	
Camta1_5	mean_1_var_1	0.015917993580833675	0.000999000999000999	0.002997002997002997	0.0014179226614987417	
Ccdc127_2	mean_1_var_1	0.0010990560252993867	0.054945054945054944	0.11238006706284652	0.07901154331908206	
Cers6_2	mean_1_var_1	0.04054853846189565	0.000999000999000999	0.002997002997002997	1.07251980846888e-08	
Chl1_6	mean_1_var_1	-0.010875009096041496	0.4915084915084915	0.5963284027800156	0.44411909532466526	
Chtf8_3	mean_1_var_1	-0.00937249517050788	0.4025974025974026	0.5069282856015652	0.3820705917145419	
Clcn4_nmdSE_1	mean_1_var_1	-0.007605295010792058	0.3276723276723277	0.4349689526160115	0.3128951086919636	
Cstf2_2	mean_1_var_1	0.01999503476396898	0.000999000999000999	0.002997002997002997	0.0003156133174752183	
Cyb5r4_1	mean_1_var_1	-0.011940850943578237	0.5904095904095904	0.6805459013177515	0.48907850136636566	
Dcun1d2_7	mean_1_var_1	-0.013397894865672335	0.6483516483516484	0.727515026410054	0.5506510679000003	
Dnajc5_1	mean_1_var_1	-0.012563528549023059	0.6173826173826173	0.7028610403049865	0.5154457982576472	
