	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
AASS_nmdSE_3	mean_1_var_1	-0.009470429475384142	0.3936063936063936	0.5831371584640487	0.3975910937641779	
ABI2_nmdSE_5	mean_1_var_1	-0.08673270482477022	0.8261738261738262	0.9004638189079845	0.8055198368406553	
ACAP2_1	mean_1_var_1	-0.08909850192501775	0.8261738261738262	0.9004638189079845	0.8148289000304354	
ACD_2	mean_1_var_1	-0.18469911115888435	0.971028971028971	0.9892499994141901	0.9887853208951626	
ACO2_4	mean_1_var_1	0.018171480106830225	0.26073926073926074	0.4566441622893236	0.2544097223604387	
ACSL3_2	mean_1_var_1	-0.05733472437013064	0.6753246753246753	0.8025062033269967	0.668194679928299	
ALG11_3	mean_1_var_1	0.05169839889692393	0.0919080919080919	0.2749856343426952	0.12565783890835752	
ANKRD39_4	mean_1_var_1	0.03865240635402711	0.12487512487512488	0.3225218785179142	0.16906680003083646	
APOPT1_10	mean_1_var_1	-0.07144848854798744	0.7482517482517482	0.8518759527933839	0.7388250200338327	
APOPT1_nmdSE_1	mean_1_var_1	0.016060300289812684	0.27372627372627373	0.4677578159545373	0.2643330964812741	
C12orf29_nmdSE_1	mean_1_var_1	0.07466647991625594	0.04995004995004995	0.1892003345491718	0.06937910824020034	
C1orf131_1	mean_1_var_1	0.17417236179036058	0.000999000999000999	0.010169517982017982	0.0017262586391288655	
CAAP1_1	mean_1_var_1	-0.02330712243374812	0.5414585414585414	0.7016613421387166	0.4765501460971422	
CBWD1_4	mean_1_var_1	0.047695797391760664	0.1018981018981019	0.29309763084597523	0.1380590850594534	
CBWD1_nmdSE_2	mean_1_var_1	-0.0599838188753303	0.6973026973026973	0.8148748112873674	0.6820262726773649	
CBWD2_5	mean_1_var_1	0.014294163747876919	0.27372627372627373	0.4677578159545373	0.27278342131033817	
CCDC127_1	mean_1_var_1	0.03515167435453223	0.14685314685314685	0.3395734700082526	0.18218669453194403	
CCDC14_6	mean_1_var_1	-0.00946279445676887	0.3936063936063936	0.5831371584640487	0.39754836159535134	
CCDC77_2	mean_1_var_1	-0.022352668664369028	0.5274725274725275	0.6893647976897727	0.47103703570759065	
CDK11A_1	mean_1_var_1	0.021804781349321945	0.22777222777222778	0.42519657992437365	0.2378000639114053	
CEP57L1_4	mean_1_var_1	-0.021667572343585694	0.5134865134865135	0.6768042659006819	0.4670831439539688	
CHCHD5_1	mean_1_var_1	-0.02238534982077028	0.5274725274725275	0.6893647976897727	0.47122572272405333	
CHD2_nmdSE_2	mean_1_var_1	0.3316617993662938	0.000999000999000999	0.010169517982017982	9.468206370166655e-08	
CHD8_1	mean_1_var_1	-0.11472914963729035	0.8931068931068931	0.9426636546928162	0.8975543332869049	
COPE_1	mean_1_var_1	-0.04167952525298373	0.6303696303696303	0.7679959124559406	0.5822970504075504	
DEF8_6	mean_1_var_1	-0.04308773159982177	0.6353646353646354	0.7722762312314552	0.5902572507283751	
DGCR6L_3	mean_1_var_1	-0.040618722395000424	0.6303696303696303	0.7679959124559406	0.5762780879504212	
DNAJC24_nmdSE_2	mean_1_var_1	-0.05765976007212799	0.6753246753246753	0.8025062033269967	0.669904658327831	
DZIP1_2	mean_1_var_1	-0.08586335882717006	0.8171828171828172	0.895910147908465	0.8020287369923234	
EED_3	mean_1_var_1	0.062488483774194685	0.07392607392607392	0.24081418581418582	0.09616352243932158	
EIF4G1_18	mean_1_var_1	-0.01103838020681124	0.4045954045954046	0.592013264669076	0.4063920338200066	
EIF4G1_23	mean_1_var_1	-0.010159194395254974	0.3936063936063936	0.5831371584640487	0.4014510141146683	
FANCI_4	mean_1_var_1	-0.08770939189789155	0.8261738261738262	0.9004638189079845	0.809396978433782	
FRG1HP_1	mean_1_var_1	0.12360259229496715	0.014985014985014986	0.09275759869584098	0.014243842601221803	
FUCA2_1	mean_1_var_1	-0.1341367706344999	0.9560439560439561	0.982433181959996	0.9393508533117251	
GLYR1_1	mean_1_var_1	-0.026498515178350654	0.5604395604395604	0.715232857250487	0.495010882849669	
HERPUD1_9	mean_1_var_1	0.014590998707036253	0.27372627372627373	0.4677578159545373	0.2713538555387921	
HNRNPM_7	mean_1_var_1	-0.18290842959841186	0.971028971028971	0.9892499994141901	0.9879970245153585	
IMMP1L_6	mean_1_var_1	-0.02160790687544821	0.5134865134865135	0.6768042659006819	0.4667389450850037	
ISCU_2	mean_1_var_1	0.05395928960316824	0.08091908091908091	0.2552967613500301	0.11900695627175245	
KTN1_13	mean_1_var_1	0.04687933563587498	0.1018981018981019	0.29309763084597523	0.1406878773016606	
LINC00680_2	mean_1_var_1	-0.1883627656855694	0.9790209790209791	0.9938950803773554	0.9902590046438525	
MARCH6_6	mean_1_var_1	-0.0511917201967496	0.6473526473526473	0.7813807313575725	0.6352524799964849	
MED20_4	mean_1_var_1	-0.23582092844982142	1.0	1.0	0.9987560337703205	
MFGE8_4	mean_1_var_1	0.12775499922656122	0.014985014985014986	0.09275759869584098	0.01220048025266944	
MND1_4	mean_1_var_1	-0.10526355646454613	0.8441558441558441	0.9086617636803509	0.8708442131859084	
MRPL55_20	mean_1_var_1	0.05293094536009088	0.08091908091908091	0.2552967613500301	0.12200057656620084	
MRPL9_4	mean_1_var_1	-0.07932597384036445	0.8171828171828172	0.895910147908465	0.7745847421901706	
MTHFD2L_1	mean_1_var_1	-0.06378084355184366	0.7132867132867133	0.8261445221445222	0.7014127590260509	
N4BP2_3	mean_1_var_1	0.01919236754334673	0.2547452547452547	0.45284183756216495	0.24968214405110922	
NDC1_1	mean_1_var_1	-0.10603609617182436	0.8531468531468531	0.9153152323181141	0.8731899517822257	
NISCH_7	mean_1_var_1	0.15394509417200555	0.014985014985014986	0.09275759869584098	0.004259455045124949	
NMU_4	mean_1_var_1	-0.10789676986172342	0.8821178821178821	0.9333330088506702	0.8787174462102895	
NUMB_3	mean_1_var_1	0.043811766432103244	0.10789210789210789	0.2965894864629042	0.15086679618324755	
OCIAD1_5	mean_1_var_1	0.04741448808433955	0.1018981018981019	0.29309763084597523	0.13896101843070813	
PCNP_5	mean_1_var_1	-0.030752962028308517	0.5704295704295704	0.7219715689846822	0.5196306891295394	
PHC1_17	mean_1_var_1	-0.10005510357353486	0.8351648351648352	0.9034618349686843	0.85424505341101	
PKIB_10	mean_1_var_1	0.05226601567330282	0.08091908091908091	0.2552967613500301	0.123964189253508	
PMS1_7	mean_1_var_1	-0.0254026242007328	0.5604395604395604	0.715232857250487	0.48866845453929025	
POLA1_2	mean_1_var_1	0.07676660400183181	0.03796203796203796	0.158540177770947	0.06540640412940905	
POLE2_5	mean_1_var_1	0.13966254723500468	0.014985014985014986	0.09275759869584098	0.007685082334255751	
PPP4C_1	mean_1_var_1	0.030282976383815143	0.19080919080919082	0.38756722622661827	0.20146007382239817	
PPP6R3_13	mean_1_var_1	0.03581244710998656	0.14685314685314685	0.3395734700082526	0.1796627420729069	
PRDM5_1	mean_1_var_1	0.08373626372582366	0.025974025974025976	0.12795522058281983	0.053477095659878786	
PREB_2	mean_1_var_1	0.06631690853907823	0.06793206793206794	0.23416794845366273	0.08702938856958353	
PRELID3B_nmdSE_1	mean_1_var_1	-0.03716364787937736	0.5894105894105894	0.7358237171723542	0.5565575817153234	
PRKAR1A_3	mean_1_var_1	0.0614819237416633	0.07392607392607392	0.24081418581418582	0.0986780924861626	
PTBP3_9	mean_1_var_1	-0.0847585336348855	0.8171828171828172	0.895910147908465	0.7975377929417595	
RAB34_11	mean_1_var_1	-0.06446449364836294	0.7132867132867133	0.8261445221445222	0.7048453969866036	
