	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.0062267627771572355	0.35664335664335667	0.48863335148655623	0.3416702091380299	0.48036801680792324
Aftph_4	mean_1_var_1	-0.004543877633737535	0.3046953046953047	0.43925617529678446	0.29217421200628674	0.43057252295663306
Agrn_8	mean_1_var_1	0.028174485678865626	0.000999000999000999	0.003768527487692573	0.0005728121527225197	0.002198360153691832
Agtpbp1_11	mean_1_var_1	-0.014189434876167632	0.6363636363636364	0.7539278361685989	0.5988674164670879	0.7095044242768597
Aldh3a2_2	mean_1_var_1	-0.023036596612343654	0.8361638361638362	0.8995095813277632	0.8369177686742499	0.8888376326760269
Angel2_1	mean_1_var_1	0.0044518995978543715	0.08491508491508491	0.16713979090216713	0.09838940812617047	0.19385346219507124
Ankfy1_5	mean_1_var_1	-0.010667472363202608	0.5194805194805194	0.6478841108703091	0.4837408876435369	0.6099459968122108
Arfip2_nmdSE_1	mean_1_var_1	0.017365479313453225	0.00999000999000999	0.03050712728132083	0.009176143704419826	0.026905860891425683
Arhgef40_7	mean_1_var_1	-0.023337474836892292	0.8491508491508492	0.9076497448093818	0.8429711915072898	0.8918715959108527
Armc9_4	mean_1_var_1	-0.011593135330776404	0.5644355644355644	0.6884036209189583	0.5142646186141504	0.6377336642306304
B4galt3_1	mean_1_var_1	0.008289667848280178	0.03896103896103896	0.0917707884532529	0.053909210231247284	0.11995707010959711
Bclaf1_1	mean_1_var_1	0.031513425170648965	0.000999000999000999	0.003768527487692573	0.0002092492509287213	0.0008594783281948304
Btrc_1	mean_1_var_1	-0.004898961719683647	0.3156843156843157	0.44827172827172834	0.3023383305567029	0.43968441927339086
Cacna1e_2	mean_1_var_1	0.002335505047488484	0.10589410589410589	0.19860139860139858	0.13225231804735016	0.24611307412265207
Camk2d_1	mean_1_var_1	0.0018640717062930886	0.14285714285714285	0.24803493449781658	0.14077792435654746	0.25581948228593815
Camta1_5	mean_1_var_1	0.0413165600257599	0.000999000999000999	0.003768527487692573	7.168885057715057e-06	3.353351410526478e-05
Ccdc127_2	mean_1_var_1	0.00154338885999781	0.14285714285714285	0.24803493449781658	0.1467859887220792	0.26360482888843134
Ccdc136_17	mean_1_var_1	0.03629129719174722	0.000999000999000999	0.003768527487692573	4.3698848799446704e-05	0.00019305180314066676
Chtf8_3	mean_1_var_1	0.01693414550256072	0.00999000999000999	0.03050712728132083	0.010095714565152826	0.02925696873983064
Ciz1_2	mean_1_var_1	-0.006952526016174155	0.37162837162837165	0.5012192691975595	0.36395556274657337	0.5004659264345799
Clcn4_nmdSE_1	mean_1_var_1	-0.005355250631123039	0.3156843156843157	0.44827172827172834	0.31562697572840914	0.4533716963497669
Clip1_11	mean_1_var_1	0.012045014055159313	0.00999000999000999	0.03050712728132083	0.027520316130772236	0.06771087681680099
Cyb5r4_1	mean_1_var_1	-0.013343058029212962	0.6233766233766234	0.7429692609548725	0.5715968833767694	0.6861923938122086
Dcaf11_1	mean_1_var_1	-0.03685236070701902	0.981018981018981	0.989982606226261	0.9831694280354318	0.9936658987973759
Dcun1d2_7	mean_1_var_1	-0.0069124791621606825	0.37162837162837165	0.5012192691975595	0.3627129767922203	0.500082750518486
Dhcr7_5	mean_1_var_1	0.011079165663077574	0.017982017982017984	0.04798423053456611	0.03297948577548508	0.0785188236187597
Dis3l2_7	mean_1_var_1	-8.678662628380262e-05	0.1838161838161838	0.29830740687883545	0.17995391641894531	0.30561052844534825
Dlg4_3	mean_1_var_1	0.013589499857937733	0.00999000999000999	0.03050712728132083	0.02036598879021699	0.0530636772148773
Dnajc17_1	mean_1_var_1	-0.02076432047136258	0.7762237762237763	0.8572960372960373	0.7864037548576952	0.8571835592189905
Dnajc5_1	mean_1_var_1	-0.011412621237193749	0.5504495504495505	0.6813783974431546	0.508313135341911	0.6324136139808405
