	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Adap1_1	mean_1_var_1	-0.03523075617989746	0.6043956043956044	0.7147760032947421	0.5504148713035272	0.6522291492143862
Aftph_4	mean_1_var_1	-0.04685042820289708	0.7712287712287712	0.8373581634095014	0.7300856218378939	0.7956058837925314
Agrn_8	mean_1_var_1	0.0005782053489020388	0.07092907092907093	0.15790256775699105	0.08501004943379492	0.19182744412529434
Agtpbp1_11	mean_1_var_1	-0.06328699957824187	0.903096903096903	0.9322946483568245	0.9033800780184056	0.9321799670272416
Aldh3a2_2	mean_1_var_1	-0.019058953585274936	0.25074925074925075	0.3739606230228886	0.29109437842577196	0.4187377889366387
Angel2_1	mean_1_var_1	0.02085536916598942	0.017982017982017984	0.054997310381925776	0.01317966102421471	0.04807553415805293
Ankfy1_5	mean_1_var_1	-0.026153793743252888	0.3826173826173826	0.5101565101565101	0.40004791456170613	0.5215050846876537
Arfip2_nmdSE_1	mean_1_var_1	0.0006504915065192917	0.07092907092907093	0.15790256775699105	0.08454016399631642	0.19100037357211916
Arhgef40_7	mean_1_var_1	-0.04107663236348895	0.6973026973026973	0.7827429487508539	0.6448299276091826	0.7307381819994099
Armc9_4	mean_1_var_1	-0.03316458354366379	0.5644355644355644	0.6850414542722235	0.5160436036606254	0.6263093309385368
B4galt3_1	mean_1_var_1	-0.011962862745237359	0.18081918081918083	0.3051515547271065	0.19843899727080283	0.3329086300205536
Bclaf1_1	mean_1_var_1	0.021479459898108736	0.017982017982017984	0.054997310381925776	0.012320044759034065	0.0454401650852685
Btrc_1	mean_1_var_1	0.003354562351059962	0.058941058941058944	0.13704657915184232	0.06832948270858315	0.16525427204946874
Cacna1e_2	mean_1_var_1	-0.052488212035751	0.8191808191808192	0.8788620985059193	0.8020737094973593	0.8568095295436595
Camk2d_1	mean_1_var_1	-0.02390467016243425	0.3256743256743257	0.45117809020248045	0.364158855993189	0.48981583607202955
Camta1_5	mean_1_var_1	0.053533654478982375	0.000999000999000999	0.004261832588012845	0.00016617487650613257	0.0010291453411034005
Ccdc127_2	mean_1_var_1	0.01888176670374443	0.017982017982017984	0.054997310381925776	0.016247503992645667	0.05660443883810578
Ccdc136_17	mean_1_var_1	0.006842052844637819	0.03196803196803197	0.08682028354159502	0.051095429901648996	0.1336548876901029
Chtf8_3	mean_1_var_1	-0.01987039676611137	0.2707292707292707	0.393140825573258	0.30284827839923	0.4309290599442683
Ciz1_2	mean_1_var_1	-0.013285961277629757	0.1848151848151848	0.3095304022010003	0.21423005711491594	0.34794881825527196
Clcn4_nmdSE_1	mean_1_var_1	-0.017716794759244488	0.24375624375624375	0.36906885954867674	0.272134898240074	0.40313277026920047
Clip1_11	mean_1_var_1	0.005888452180099034	0.03896103896103896	0.09892023685127133	0.055422205344119325	0.14107470451230375
Cyb5r4_1	mean_1_var_1	-0.034129706814135845	0.5824175824175825	0.6958210059171598	0.5321291826911644	0.6384265631804675
Dcaf11_1	mean_1_var_1	-0.03612627852655758	0.6153846153846154	0.7221869040050859	0.5652105099774073	0.6640889443469773
Dcun1d2_7	mean_1_var_1	-0.02118420483186744	0.28771228771228774	0.4085514485514486	0.32231528947280164	0.4520442932818501
Dhcr7_5	mean_1_var_1	-0.007821220721099163	0.15084915084915085	0.2772030540625582	0.15373003622438708	0.28508891046089696
Dis3l2_7	mean_1_var_1	-0.017111919371783607	0.24375624375624375	0.36906885954867674	0.26379568565518086	0.3966912428763234
Dlg4_3	mean_1_var_1	0.018124735522519336	0.017982017982017984	0.054997310381925776	0.01757695884681979	0.059528099126878606
Dnajc17_1	mean_1_var_1	-0.017790122347783842	0.24375624375624375	0.36906885954867674	0.2731546763295376	0.4034409335387227
Dnajc5_1	mean_1_var_1	-0.03649046406546389	0.6243756243756243	0.7297229519451741	0.5712026851977285	0.6699250473716692
Dram2_1	mean_1_var_1	-0.02134591112122933	0.28771228771228774	0.4085514485514486	0.324746836039401	0.4535018427999725
Ece2_4	mean_1_var_1	-0.038626866914353256	0.6583416583416584	0.7521742625190901	0.605981267819246	0.6939462905672011
Elovl6_2	mean_1_var_1	-0.02855708425627667	0.4595404595404595	0.5878805878805878	0.4393454211217036	0.5588091472744381
Epb41l4aos_1	mean_1_var_1	-0.06312616960324526	0.903096903096903	0.9322946483568245	0.9022229836400256	0.9317502812864265
Epn2_5	mean_1_var_1	-0.0003988187295888584	0.07892107892107893	0.17222294719550485	0.0915543489639084	0.20200892978940058
Eri3_5	mean_1_var_1	-0.01519940954304623	0.2177822177822178	0.3433394519833854	0.23831331853284776	0.3709999038710269
Exoc6b_6	mean_1_var_1	-0.03754971634883675	0.6473526473526473	0.7430352557373342	0.5885333634961986	0.6818207031645936
Fam13b_8	mean_1_var_1	-0.04634674841130482	0.7592407592407593	0.8270523996551394	0.7230712025805702	0.790250440203504
Fam160a2_2	mean_1_var_1	-0.03442158443174604	0.5824175824175825	0.6958210059171598	0.5369847593508363	0.6419276618096589
Fam189b_2	mean_1_var_1	-0.05387566250878016	0.8311688311688312	0.8859858640019499	0.8178298743379309	0.8700046985262448
Fam189b_3	mean_1_var_1	-0.017780167590363525	0.24375624375624375	0.36906885954867674	0.27301612296871103	0.4034409335387227
Fam49b_1	mean_1_var_1	-0.02358362871499201	0.3256743256743257	0.45117809020248045	0.3591237384375722	0.48567210341081196
Fbxl5_7	mean_1_var_1	0.03967152347460884	0.000999000999000999	0.004261832588012845	0.0013128736669785499	0.006508710349010866
Fbxo42_3	mean_1_var_1	0.0012800792820344918	0.07092907092907093	0.15790256775699105	0.08052969912706259	0.18592794861653056
Flcn_1	mean_1_var_1	0.03355242895524247	0.000999000999000999	0.004261832588012845	0.0029585981012448144	0.013583586663451941
Fnbp4_6	mean_1_var_1	-0.027277627397821268	0.4195804195804196	0.5484062288796017	0.4183239852684647	0.5386192245555103
Gfra2_1	mean_1_var_1	-0.07754085458164044	0.971028971028971	0.9789075022340743	0.9711305619995205	0.9829977379099016
Gfra2_3	mean_1_var_1	-0.011356118312583213	0.17482517482517482	0.3003910523357369	0.19143878743493337	0.3255605726438388
Gpatch8_3	mean_1_var_1	-0.04421595478598457	0.7332667332667333	0.8080566883227638	0.692448016494436	0.7647703648838549
Gria3_nmdSE_2	mean_1_var_1	0.04033855328304973	0.000999000999000999	0.004261832588012845	0.001197185111756355	0.006071438781050086
Gtf2i_10	mean_1_var_1	-0.012952720917339212	0.18081918081918083	0.3051515547271065	0.21018547557408057	0.3447780498032498
Ints10_3	mean_1_var_1	0.04339002173971991	0.000999000999000999	0.004261832588012845	0.0007778027834708179	0.004145501162305593
Isy1_3	mean_1_var_1	-0.018017370987695125	0.24375624375624375	0.36906885954867674	0.27632703597526476	0.40532577272176024
Isyna1_3	mean_1_var_1	-0.00554393952924118	0.13186813186813187	0.25451829723674385	0.13223551268845868	0.26079781669112684
Josd2_9	mean_1_var_1	-0.02183733811908051	0.2937062937062937	0.41587472356703126	0.33218193243266547	0.4598730373789269
Josd2_nmdSE_4	mean_1_var_1	-0.011503113292457278	0.17482517482517482	0.3003910523357369	0.1931206760450348	0.3273109125197641
Kcna6_1	mean_1_var_1	-0.056880375317821856	0.8461538461538461	0.8961927789844678	0.8491731372629857	0.8941505280078472
Kctd20_3	mean_1_var_1	-0.0065374867255386954	0.13886113886113885	0.2646749223930432	0.14134432965260535	0.269991826620986
Klhl26_2	mean_1_var_1	-0.020493057463513806	0.2777222777222777	0.3977751355272969	0.3120091266784881	0.43959896799208675
Lmbr1_11	mean_1_var_1	-0.009166762355608777	0.15584415584415584	0.2781132691366085	0.1674613057740702	0.29872265002050513
Lrrc45_5	mean_1_var_1	-0.03718193301239774	0.6473526473526473	0.7430352557373342	0.5825337163732448	0.6760519720665561
Lsm5_3	mean_1_var_1	0.014029660162012543	0.023976023976023976	0.068483240897034	0.026484462024946785	0.08150326703652354
Lztfl1_3	mean_1_var_1	-0.013801353687812618	0.1888111888111888	0.31410597770430404	0.2205737905408302	0.3530158542368233
Lztfl1_5	mean_1_var_1	-0.00643103666476429	0.13886113886113885	0.2646749223930432	0.14034853912167755	0.269577677076227
Map7d2_4	mean_1_var_1	-0.07815730739272261	0.971028971028971	0.9789075022340743	0.9727899758456479	0.9838400926064648
Mapk8ip3_4	mean_1_var_1	-0.011829851545122847	0.17482517482517482	0.3003910523357369	0.19689132996647335	0.33115056173718194
Mast2_6	mean_1_var_1	-0.0051582220051649775	0.13186813186813187	0.25451829723674385	0.12881076522733664	0.2565889792304061
Mia3_4	mean_1_var_1	-0.016855093740471713	0.23676323676323677	0.36290309536261733	0.2602947469235651	0.3928914052733151
Miat_5	mean_1_var_1	-0.0622813948237166	0.903096903096903	0.9322946483568245	0.8959781460056591	0.9273924245972175
Mllt10_22	mean_1_var_1	-0.0419047042312589	0.7032967032967034	0.7850386558977239	0.6576506497030348	0.7373996004566459
Mroh1_10	mean_1_var_1	-0.018598848113187287	0.24375624375624375	0.36906885954867674	0.2845257389945076	0.41107352407055314
Mtmr7_6	mean_1_var_1	0.0015035128043608761	0.07092907092907093	0.15790256775699105	0.07914152681544018	0.1840295137799726
Nadk_4	mean_1_var_1	-0.03555973218173029	0.6093906093906094	0.7181200542196393	0.5558594149320999	0.6573756792891223
Ncoa5_3	mean_1_var_1	0.011225237291010215	0.023976023976023976	0.068483240897034	0.034548117865970514	0.0992509513259384
Nf2_4	mean_1_var_1	-0.036627245003265724	0.6313686313686314	0.7335831906258559	0.5734490727887473	0.6709927938222658
Nfasc_6	mean_1_var_1	-0.01595174480221049	0.22777222777222778	0.3532068555469492	0.2481736317708388	0.38117654355037994
Nrxn1_3	mean_1_var_1	0.0060275297296489274	0.03896103896103896	0.09892023685127133	0.054773723247574665	0.13960277155920311
Odf2_1	mean_1_var_1	-0.030914428975182595	0.5204795204795205	0.6439126091300004	0.47848427722792974	0.5926646374636289
Odf2_12	mean_1_var_1	-0.024961312025514527	0.3596403596403596	0.48970207874317456	0.38089289582946445	0.5051468158165279
Oraov1_1	mean_1_var_1	-0.014176788432130029	0.2057942057942058	0.3334302209607833	0.22526183002227756	0.355978154280038
Pccb_4	mean_1_var_1	0.007272749026681253	0.023976023976023976	0.068483240897034	0.049231462476895804	0.1296319833166475
Pdp1_1	mean_1_var_1	-0.009350276721676917	0.15584415584415584	0.2781132691366085	0.16939351535183256	0.30067348974950275
Phf20_1	mean_1_var_1	-0.02014688270718908	0.2777222777222777	0.3977751355272969	0.3069012169611002	0.43363157023359433
Ppfia2_5	mean_1_var_1	-0.05531659230011086	0.8311688311688312	0.8859858640019499	0.8333375812357464	0.8816791439577776
Pphln1_6	mean_1_var_1	0.03112365342427087	0.000999000999000999	0.004261832588012845	0.004016564744587972	0.017943664521889637
Ppip5k2_1	mean_1_var_1	-0.018027559757996237	0.24375624375624375	0.36906885954867674	0.27646969205769967	0.40532577272176024
Ppp1r16a_5	mean_1_var_1	0.006375085380435313	0.03896103896103896	0.09892023685127133	0.05317937615059931	0.13676662326958788
Preb_7	mean_1_var_1	-0.021645891628974616	0.2937062937062937	0.41587472356703126	0.32927735653459844	0.4574447133408677
Prr14l_5	mean_1_var_1	-0.006276776103467789	0.13886113886113885	0.2646749223930432	0.13891397610468265	0.2675911157919224
Ptk2_7	mean_1_var_1	0.02799054574292383	0.000999000999000999	0.004261832588012845	0.005875543053912795	0.024852297002507736
Rbm18_1	mean_1_var_1	-0.02718217420671774	0.4095904095904096	0.5388919485544238	0.4167642339621107	0.5373069371703476
