	RBM47	RBM5	SRSF10	SRSF1	SRSF3	SRSF7	SRSF9	ELAVL1	PTBP1PTBP2	RBFOX2	RBM10	RBM15	RBM22	RBM27
Aamdc_10_e1	0	0	0	0	1	1	1	0	1	1	1	0	1	0
Aamdc_10_e2	0	1	1	1	1	0	0	0	0	1	0	0	1	0
Aamdc_10_se	1	0	0	0	2	0	1	1	2	0	1	0	0	0
Aamdc_9_e1	1	0	0	0	1	0	0	1	1	0	1	0	1	0
Aamdc_9_e2	0	0	2	1	1	0	1	0	0	0	0	0	0	0
Aamdc_9_se	3	0	1	1	4	1	1	1	3	0	2	0	1	0
Aamdc_nmdSE_2_e1	1	0	0	0	1	0	0	1	1	0	1	0	1	0
Aamdc_nmdSE_2_e2	1	0	0	1	2	1	1	1	2	0	2	0	1	0
Aamdc_nmdSE_2_se	2	0	1	1	1	1	1	1	1	0	1	0	0	0
Aasdhppt_2_e1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Aasdhppt_2_e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aasdhppt_2_se	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Abat_3_e1	0	0	0	1	2	1	2	0	1	1	0	0	1	1
Abat_3_e2	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Abat_3_se	0	1	1	0	0	0	1	0	1	2	0	0	2	0
Abca3_4_e1	0	2	0	1	0	0	0	0	1	1	0	3	2	1
Abca3_4_e2	1	1	1	2	0	1	1	0	0	1	0	1	1	0
Abca3_4_se	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Abhd10_1_e1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Abhd10_1_e2	1	0	1	1	1	1	1	0	1	0	1	0	0	0
Abhd10_1_se	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Abhd10_2_e1	0	0	1	1	1	1	1	0	1	0	1	0	0	0
Abhd10_2_e2	0	2	1	0	2	0	0	0	0	2	0	2	3	2
Abhd10_2_se	2	0	1	0	1	1	2	1	2	0	0	0	0	0
Abhd14a_1_e1	0	0	0	0	2	1	1	0	2	1	1	0	1	0
Abhd14a_1_e2	0	2	0	0	0	0	0	0	1	1	0	2	3	1
Abhd14a_1_se	0	1	1	1	1	1	0	0	1	2	2	0	2	1
Abhd14a_3_e1	0	0	0	0	2	1	1	0	2	1	1	0	1	0
Abhd14a_3_e2	0	2	0	0	0	0	0	0	1	1	0	2	3	1
Abhd14a_3_se	0	1	1	1	1	1	0	0	1	2	2	0	2	1
Abi1_8_e1	1	0	0	2	2	1	1	1	1	1	2	0	1	0
Abi1_8_e2	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Abi1_8_se	1	0	0	0	2	0	0	1	3	2	1	0	1	0
Abi2_2_e1	1	1	1	0	1	0	0	1	1	1	1	1	1	0
Abi2_2_e2	0	0	0	2	1	1	1	0	1	0	0	0	0	0
Abi2_2_se	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Abi2_3_e1	1	0	0	4	2	3	1	1	1	0	0	0	0	0
Abi2_3_e2	1	0	1	1	0	0	0	0	0	1	0	0	0	0
Abi2_3_se	0	2	3	0	0	0	0	0	0	3	0	1	2	0
Abi2_4_e1	1	0	0	1	1	1	1	0	0	0	1	0	0	0
Abi2_4_e2	0	1	1	0	1	0	1	0	0	1	0	1	1	0
Abi2_4_se	1	0	2	0	0	1	1	0	0	0	0	0	0	0
Abi2_5_e1	1	0	0	4	2	3	1	1	1	0	0	0	0	0
Abi2_5_e2	1	0	1	1	0	0	0	0	0	1	0	0	0	0
Abi2_5_se	0	2	2	0	0	0	0	0	0	2	0	1	1	0
Abi2_7_e1	1	0	2	0	1	0	0	1	0	0	0	0	0	0
Abi2_7_e2	1	2	2	0	2	0	1	1	0	2	0	0	1	0
Abi2_7_se	1	0	1	1	1	0	2	2	0	0	0	0	0	0
Ablim1_3_e1	2	0	0	1	1	2	1	1	2	0	0	0	0	0
Ablim1_3_e2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ablim1_3_se	0	0	0	0	4	2	2	0	2	1	2	1	1	1
Ablim1_6_e1	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Ablim1_6_e2	1	0	0	1	1	2	1	0	3	0	0	0	0	0
Ablim1_6_se	0	1	1	1	1	0	1	0	0	2	0	1	1	1
Ablim1_7_e1	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Ablim1_7_e2	1	0	0	1	1	2	1	0	3	0	0	0	0	0
Ablim1_7_se	0	1	1	1	1	0	1	0	0	2	0	1	1	1
Ablim2_10_e1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Ablim2_10_e2	0	1	0	0	1	0	0	0	1	2	1	2	3	1
Ablim2_10_se	0	1	1	0	1	0	0	0	0	2	0	0	1	0
Ablim2_4_e1	0	2	0	0	1	0	0	0	0	3	0	1	2	1
Ablim2_4_e2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Ablim2_4_se	0	1	1	1	1	0	0	0	0	4	0	1	3	0
Ablim2_6_e1	0	0	0	0	1	0	0	0	0	1	0	0	1	1
Ablim2_6_e2	0	0	0	0	1	0	0	0	0	1	0	2	1	1
Ablim2_6_se	0	1	0	0	2	0	0	0	0	2	0	0	1	0
Ablim2_8_e1	0	1	0	1	3	0	0	0	1	1	0	0	1	1
Ablim2_8_e2	0	1	1	2	0	0	1	0	0	1	0	2	2	2
Ablim2_8_se	0	2	0	1	1	0	0	0	1	3	0	2	2	1
Ablim2_nmdSE_1_e1	0	1	0	0	0	0	0	0	0	1	0	0	2	1
Ablim2_nmdSE_1_e2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Ablim2_nmdSE_1_se	0	1	1	0	0	0	0	0	0	2	0	2	3	2
Ablim3_5_e1	0	0	1	1	1	0	1	0	1	0	1	0	1	0
